TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT JUN 30 2013 MOCLDY    73  63  70 N3        29.83R                   JUL
 9PM EDT JUN 30 2013 MOCLDY    72  63  73 N5        29.85R                   JUL
10PM EDT JUN 30 2013 MOCLDY    71  63  75 N5        29.87R                   JUL
11PM EDT JUN 30 2013 MOCLDY    69  63  81 CALM      29.86F                   JUL
12AM EDT JUL 01 2013 CLOUDY    69  63  81 CALM      29.87R                   JUL
 1AM EDT JUL 01 2013 CLOUDY    68  64  87 CALM      29.85F                   JUL
 2AM EDT JUL 01 2013 CLOUDY    67  64  90 N3        29.84F                   JUL
 3AM EDT JUL 01 2013 CLOUDY    67  64  90 NE6       29.83F                     .
 4AM EDT JUL 01 2013 CLOUDY    67  63  87 N3        29.84R                     .
 5AM EDT JUL 01 2013 LGT RAIN  67  64  90 NE3       29.85R                     .
 6AM EDT JUL 01 2013 LGT RAIN  66  64  93 W3        29.87R FOG                 .
 7AM EDT JUL 01 2013 LGT RAIN  66  64  93 N6        29.87S FOG                 .
 8AM EDT JUL 01 2013 LGT RAIN  66  64  94 W3        29.90R FOG                 .
 9AM EDT JUL 01 2013 LGT RAIN  66  64  93 NW3       29.90S FOG                 .
10AM EDT JUL 01 2013 LGT RAIN  67  64  90 CALM      29.92R FOG                 .
11AM EDT JUL 01 2013 LGT RAIN  68  65  90 SE5       29.92S FOG                 .
12PM EDT JUL 01 2013 CLOUDY    72  66  81 SE6       29.93S                     .
 1PM EDT JUL 01 2013 PTSUNNY   75  64  68 VRB3      29.92F                     .
 2PM EDT JUL 01 2013 CLOUDY    74  64  71 NE8       29.92S                     .
 3PM EDT JUL 01 2013 CLOUDY    74  63  68 NE7       29.92S                     .
 4PM EDT JUL 01 2013 PTSUNNY   76  64  66 NE8       29.92S                     .
 5PM EDT JUL 01 2013 PTSUNNY   76  64  66 NE10      29.91F                     .
 6PM EDT JUL 01 2013 MOSUNNY   77  63  61 NE7       29.92R                     .
 7PM EDT JUL 01 2013 MOSUNNY   75  63  66 NE7       29.91F                     .
 8PM EDT JUL 01 2013 PTCLDY    75  63  66 NE8G16    29.94R                     .
 9PM EDT JUL 01 2013 MOCLDY    73  62  68 NE7       29.95R                     .
10PM EDT JUL 01 2013 MOCLDY    72  62  71 NE8       29.96R                     .
11PM EDT JUL 01 2013 CLOUDY    70  62  76 NE8       29.96S                     .
12AM EDT JUL 02 2013 LGT RAIN  68  64  87 CALM      29.98R                     .
 1AM EDT JUL 02 2013 LGT RAIN  68  64  87 N5        29.99R                     .
 2AM EDT JUL 02 2013 CLOUDY    67  64  90 CALM      29.98F                     .
 3AM EDT JUL 02 2013 LGT RAIN  66  64  93 SE6       29.95F                     .
 4AM EDT JUL 02 2013 CLOUDY    67  65  93 S7        29.95S                     .
 5AM EDT JUL 02 2013 CLOUDY    67  65  93 SE6       29.96R                     .
 6AM EDT JUL 02 2013 MOCLDY    67  64  90 CALM      29.98R                     .
 7AM EDT JUL 02 2013 CLOUDY    67  64  90 CALM      30.00R                     .
 8AM EDT JUL 02 2013 NOT AVBL                                                  .
 9AM EDT JUL 02 2013 NOT AVBL                                                  .
10AM EDT JUL 02 2013 NOT AVBL                                                  .
11AM EDT JUL 02 2013 PTSUNNY   73  66  78 CALM      30.05R                     .
12PM EDT JUL 02 2013 PTSUNNY   77  67  71 S3        30.06                      .
 1PM EDT JUL 02 2013 PTSUNNY   78  67  68 SW6       30.06S                     .
 2PM EDT JUL 02 2013 PTSUNNY   79  67  66 W5        30.05F                     .
 3PM EDT JUL 02 2013 PTSUNNY   82  66  58 SW6       30.05S                     .
 4PM EDT JUL 02 2013 CLOUDY    80  67  64 W7        30.04F                     .
 5PM EDT JUL 02 2013 PTSUNNY   81  67  62 SW5       30.04S                     .
 6PM EDT JUL 02 2013 MOSUNNY   81  66  60 SW7       30.04S                     .
 7PM EDT JUL 02 2013 PTSUNNY   81  66  60 S5        30.05R                     .
 8PM EDT JUL 02 2013 MOCLDY    81  65  58 SW6       30.06R                     .
 9PM EDT JUL 02 2013 MOCLDY    79  66  64 CALM      30.07R                     .
10PM EDT JUL 02 2013 MOCLDY    76  68  76 SE3       30.07S                     .
11PM EDT JUL 02 2013 MOCLDY    76  66  71 CALM      30.08R                     .
12AM EDT JUL 03 2013 NOT AVBL                                                  .
 1AM EDT JUL 03 2013 CLOUDY    73  67  81 CALM      30.09                      .
 2AM EDT JUL 03 2013 CLOUDY    73  66  78 CALM      30.09S                     .
 3AM EDT JUL 03 2013 PTCLDY    71  66  84 S3        30.09S                     .
 4AM EDT JUL 03 2013 PTCLDY    70  66  87 S3        30.09S                     .
 5AM EDT JUL 03 2013 MOCLDY    70  65  84 S3        30.10R                     .
 6AM EDT JUL 03 2013 MOCLDY    70  64  81 S3        30.12R                     .
 7AM EDT JUL 03 2013 PTSUNNY   70  64  81 S5        30.15R                     .
 8AM EDT JUL 03 2013 PTSUNNY   72  65  78 S5        30.16R                     .
 9AM EDT JUL 03 2013 CLOUDY    74  65  73 SW7       30.17R                     .
10AM EDT JUL 03 2013 CLOUDY    76  66  71 S5        30.18R                     .
11AM EDT JUL 03 2013 PTSUNNY   78  66  66 SW7       30.19R                     .
12PM EDT JUL 03 2013 PTSUNNY   79  67  66 S6        30.19S                     .
 1PM EDT JUL 03 2013 PTSUNNY   81  67  62 S7        30.18F                     .
 2PM EDT JUL 03 2013 PTSUNNY   83  64  52 S7        30.18S                     .
 3PM EDT JUL 03 2013 PTSUNNY   83  66  56 SW7       30.16F HX  85              .
 4PM EDT JUL 03 2013 PTSUNNY   84  66  54 S6        30.15F HX  86              .
 5PM EDT JUL 03 2013 PTSUNNY   84  65  52 S7        30.14F HX  86              .
 6PM EDT JUL 03 2013 PTSUNNY   83  66  56 S8        30.13F HX  85              .
 7PM EDT JUL 03 2013 CLOUDY    82  66  58 S7        30.14R                     .
 8PM EDT JUL 03 2013 MOCLDY    81  67  62 S3        30.15R                     .
 9PM EDT JUL 03 2013 MOCLDY    79  66  64 S5        30.16R                     .
10PM EDT JUL 03 2013 CLOUDY    73  64  73 NW10      30.19R                     .
11PM EDT JUL 03 2013 CLOUDY    73  65  75 CALM      30.18F                     .
12AM EDT JUL 04 2013 CLOUDY    73  65  75 CALM      30.18S                     .
