TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 7PM EST NOV 30 2012 CLOUDY    49  28  44 S3        30.20R                   DEC
 8PM EST NOV 30 2012 CLOUDY    48  28  46 S5        30.20S                   DEC
 9PM EST NOV 30 2012 CLOUDY    47  29  49 CALM      30.21R                   DEC
10PM EST NOV 30 2012 CLOUDY    46  29  51 CALM      30.22R                   DEC
11PM EST NOV 30 2012 MOCLDY    44  29  55 CALM      30.23R                   DEC
12AM EST DEC 01 2012 PTCLDY    42  29  59 CALM      30.23S                   DEC
 1AM EST DEC 01 2012 PTCLDY    39  29  67 CALM      30.23S                   DEC
 2AM EST DEC 01 2012 CLEAR     37  28  70 CALM      30.23S                     .
 3AM EST DEC 01 2012 CLEAR     35  28  75 CALM      30.24R                     .
 4AM EST DEC 01 2012 PTCLDY    37  29  72 CALM      30.23F                     .
 5AM EST DEC 01 2012 CLOUDY    36  28  73 CALM      30.26R                     .
 6AM EST DEC 01 2012 MOCLDY    34  28  79 CALM      30.28R                     .
 7AM EST DEC 01 2012 MOCLDY    34  28  79 CALM      30.28S                     .
 8AM EST DEC 01 2012 PTCLDY    35  29  78 CALM      30.29R                     .
 9AM EST DEC 01 2012 MOSUNNY   38  31  76 CALM      30.30R                     .
10AM EST DEC 01 2012 MOSUNNY   45  33  63 CALM      30.31R                     .
11AM EST DEC 01 2012 MOSUNNY   50  35  56 S6        30.30F                     .
12PM EST DEC 01 2012 CLOUDY    54  37  52 S8        30.28F                     .
 1PM EST DEC 01 2012 CLOUDY    55  37  50 SW10      30.26F                     .
 2PM EST DEC 01 2012 CLOUDY    56  37  49 SW7       30.24F                     .
 3PM EST DEC 01 2012 PTSUNNY   57  38  48 S7        30.24S                     .
 4PM EST DEC 01 2012 PTCLDY    58  38  47 S9        30.23F                     .
 5PM EST DEC 01 2012 MOCLDY    56  39  53 S3        30.23S                     .
 6PM EST DEC 01 2012 MOCLDY    53  38  56 S3        30.24R                     .
 7PM EST DEC 01 2012 MOCLDY    50  38  63 S5        30.24S                     .
 8PM EST DEC 01 2012 MOCLDY    49  37  63 S3        30.24S                     .
 9PM EST DEC 01 2012 MOCLDY    49  37  63 S5        30.24S                     .
10PM EST DEC 01 2012 MOCLDY    48  37  65 S3        30.23F                     .
11PM EST DEC 01 2012 NOT AVBL                                                  .
12AM EST DEC 02 2012 CLOUDY    45  37  73 SE3       30.21                      .
 1AM EST DEC 02 2012 CLOUDY    45  37  73 SE3       30.20F                     .
 2AM EST DEC 02 2012 CLOUDY    46  38  73 S5        30.19F                     .
 3AM EST DEC 02 2012 CLOUDY    48  38  68 S6        30.20R                     .
 4AM EST DEC 02 2012 CLOUDY    50  39  66 S6        30.17F                     .
 5AM EST DEC 02 2012 CLOUDY    49  39  68 S7        30.15F                     .
 6AM EST DEC 02 2012 CLOUDY    49  40  71 S7        30.14F                     .
 7AM EST DEC 02 2012 CLOUDY    49  40  71 S7        30.14S                     .
 8AM EST DEC 02 2012 MOCLDY    50  41  71 S7        30.11F                     .
 9AM EST DEC 02 2012 CLOUDY    55  41  59 SW12G23   30.12R                     .
10AM EST DEC 02 2012 PTSUNNY   58  41  53 SW16G24   30.10F                     .
11AM EST DEC 02 2012 CLOUDY    59  42  53 SW16G25   30.10S                     .
12PM EST DEC 02 2012 LGT RAIN  55  46  71 SW10      30.07F                     .
 1PM EST DEC 02 2012 LGT RAIN  55  47  74 SW9G18    30.06F                     .
 2PM EST DEC 02 2012 DRIZZLE   53  49  86 SW15      30.04F                     .
 3PM EST DEC 02 2012 DRIZZLE   54  50  87 SW13G21   30.04S FOG                 .
 4PM EST DEC 02 2012 DRIZZLE   53  50  89 SW10      30.05R                     .
 5PM EST DEC 02 2012 DRIZZLE   53  51  93 SW12      30.06S FOG                 .
 6PM EST DEC 02 2012 CLOUDY    53  51  93 SW9       30.07R                     .
 7PM EST DEC 02 2012 CLOUDY    54  51  90 SW12      30.08R                     .
 8PM EST DEC 02 2012 DRIZZLE   54  52  93 SW7       30.10R                     .
 9PM EST DEC 02 2012 CLOUDY    54  52  93 SW9       30.12R                     .
10PM EST DEC 02 2012 CLOUDY    54  53  97 W7        30.13R                     .
11PM EST DEC 02 2012 CLOUDY    54  53  97 W6        30.12F                     .
12AM EST DEC 03 2012 CLOUDY    55  53  93 SW6       30.13R                     .
 1AM EST DEC 03 2012 FOG       54  53  97 SW7       30.14R VSB 1/2             .
 2AM EST DEC 03 2012 FOG       54  53  97 SW5       30.15R VSB 1/4             .
 3AM EST DEC 03 2012 FOG       54  53  97 CALM      30.16R VSB 1/2             .
 4AM EST DEC 03 2012 DRZL/FOG  54  53  97 SW3       30.16S VSB 1/2             .
 5AM EST DEC 03 2012 CLOUDY    54  53  97 SW3       30.16S FOG                 .
 6AM EST DEC 03 2012 CLOUDY    54  53  97 CALM      30.17S FOG                 .
 7AM EST DEC 03 2012 CLOUDY    54  53  97 CALM      30.19R FOG                 .
 8AM EST DEC 03 2012 FOG       53  53 100 CALM      30.21R VSB 1/4             .
 9AM EST DEC 03 2012 FOG       54  54 100 CALM      30.21S VSB 1/8             .
10AM EST DEC 03 2012 CLOUDY    55  54  96 VRB5      30.21S FOG                 .
11AM EST DEC 03 2012 CLOUDY    58  54  86 S9        30.20S                     .
12PM EST DEC 03 2012 CLOUDY    59  55  87 S5        30.18F                     .
 1PM EST DEC 03 2012 CLOUDY    58  55  90 S8        30.16F FOG                 .
 2PM EST DEC 03 2012 CLOUDY    60  55  83 SW8       30.15F                     .
 3PM EST DEC 03 2012 CLOUDY    60  55  83 S5        30.15S                     .
 4PM EST DEC 03 2012 CLOUDY    60  55  83 S5        30.14F                     .
 5PM EST DEC 03 2012 CLOUDY    60  54  80 S6        30.15R                     .
 6PM EST DEC 03 2012 CLOUDY    60  54  80 S5        30.16R                     .
 7PM EST DEC 03 2012 CLOUDY    58  55  90 S6        30.16S                     .
 8PM EST DEC 03 2012 CLOUDY    57  55  93 S3        30.16S                     .
 9PM EST DEC 03 2012 CLOUDY    57  55  93 CALM      30.16S                     .
10PM EST DEC 03 2012 PTCLDY    55  54  96 S5        30.15F                     .
11PM EST DEC 03 2012 PTCLDY    55  53  93 S5        30.14F                     .
12AM EST DEC 04 2012 MOCLDY    54  52  93 S5        30.14S                     .
 1AM EST DEC 04 2012 MOCLDY    54  52  93 S5        30.13F                     .
 2AM EST DEC 04 2012 MOCLDY    54  52  93 S6        30.13S                     .
 3AM EST DEC 04 2012 MOCLDY    54  51  90 S5        30.14R                     .
 4AM EST DEC 04 2012 MOCLDY    55  51  86 S6        30.14S                     .
 5AM EST DEC 04 2012 CLOUDY    56  50  80 S6        30.13F                     .
