TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT MAY 31 2012 PTCLDY    74  48  39 SE7       29.85S                   JUN
 9PM EDT MAY 31 2012 FAIR      70  49  47 E5        29.83F                   JUN
10PM EDT MAY 31 2012 MOCLDY    67  50  54 E3        29.84R                   JUN
11PM EDT MAY 31 2012 MOCLDY    66  51  58 E6        29.85R                   JUN
12AM EDT JUN 01 2012 CLOUDY    67  50  54 E9        29.82F                   JUN
 1AM EDT JUN 01 2012 CLOUDY    67  50  54 E7        29.80F                   JUN
 2AM EDT JUN 01 2012 CLOUDY    67  51  56 E9        29.77F                   JUN
 3AM EDT JUN 01 2012 CLOUDY    67  52  58 SE8       29.75F                     .
 4AM EDT JUN 01 2012 CLOUDY    67  53  61 SE6       29.72F                     .
 5AM EDT JUN 01 2012 LGT RAIN  67  54  63 S5        29.75R                     .
 6AM EDT JUN 01 2012 LGT RAIN  64  58  80 SE6       29.75S                     .
 7AM EDT JUN 01 2012 LGT RAIN  63  60  90 SE15      29.75S FOG                 .
 8AM EDT JUN 01 2012 CLOUDY    63  60  90 SE14      29.74F                     .
 9AM EDT JUN 01 2012 LGT RAIN  64  61  90 SE5       29.74S                     .
10AM EDT JUN 01 2012 LGT RAIN  64  62  93 CALM      29.74S                     .
11AM EDT JUN 01 2012 LGT RAIN  65  62  90 CALM      29.71F                     .
12PM EDT JUN 01 2012 LGT RAIN  66  62  87 SE9       29.68F                     .
 1PM EDT JUN 01 2012 LGT RAIN  68  63  84 SE10      29.66F                     .
 2PM EDT JUN 01 2012 LGT RAIN  69  65  86 SE9       29.63F                     .
 3PM EDT JUN 01 2012 CLOUDY    69  64  84 SE13      29.60F                     .
 4PM EDT JUN 01 2012 CLOUDY    69  64  84 S12G24    29.59F                     .
 5PM EDT JUN 01 2012 LGT RAIN  63  60  90 S12       29.61S                     .
 6PM EDT JUN 01 2012 LGT RAIN  62  59  90 SW8       29.63R                     .
 7PM EDT JUN 01 2012 LGT RAIN  62  58  86 SW12G17   29.63S FOG                 .
 8PM EDT JUN 01 2012 CLOUDY    61  56  83 W10       29.66R                     .
 9PM EDT JUN 01 2012 MOCLDY    58  53  84 W16G22    29.69R                     .
10PM EDT JUN 01 2012 CLOUDY    57  50  77 W8G17     29.72R                     .
11PM EDT JUN 01 2012 CLOUDY    56  49  77 W8        29.74R                     .
12AM EDT JUN 02 2012 CLOUDY    56  49  77 SW7       29.75R                     .
 1AM EDT JUN 02 2012 CLOUDY    55  46  71 W7        29.76R                     .
 2AM EDT JUN 02 2012 CLOUDY    54  46  74 SW5       29.76S                     .
 3AM EDT JUN 02 2012 CLOUDY    54  48  80 SW7       29.76S                     .
 4AM EDT JUN 02 2012 CLOUDY    53  46  77 SW9G18    29.76S                     .
 5AM EDT JUN 02 2012 PTCLDY    52  45  77 SW7       29.77S                     .
 6AM EDT JUN 02 2012 PTCLDY    51  45  79 SW10      29.77S                     .
 7AM EDT JUN 02 2012 PTSUNNY   51  44  77 SW10G17   29.80R                     .
 8AM EDT JUN 02 2012 PTSUNNY   53  45  74 SW14G21   29.81R                     .
 9AM EDT JUN 02 2012 MOSUNNY   55  46  71 SW12G17   29.82R                     .
10AM EDT JUN 02 2012 MOSUNNY   58  45  62 SW13G23   29.82S                     .
11AM EDT JUN 02 2012 PTSUNNY   61  45  55 W15       29.81F                     .
12PM EDT JUN 02 2012 PTSUNNY   63  46  54 W12G21    29.81S                     .
 1PM EDT JUN 02 2012 PTSUNNY   64  44  48 SW10G20   29.80F                     .
 2PM EDT JUN 02 2012 PTSUNNY   65  45  48 VRB7      29.80S                     .
 3PM EDT JUN 02 2012 PTSUNNY   65  46  50 SW8       29.80S                     .
 4PM EDT JUN 02 2012 PTSUNNY   65  46  50 SW6       29.79F                     .
 5PM EDT JUN 02 2012 PTSUNNY   66  43  43 SW12      29.78F                     .
 6PM EDT JUN 02 2012 PTSUNNY   67  43  41 SW12G17   29.78S                     .
 7PM EDT JUN 02 2012 PTSUNNY   64  45  49 SW8       29.79R                     .
 8PM EDT JUN 02 2012 PTCLDY    63  41  44 SW10      29.80R                     .
 9PM EDT JUN 02 2012 PTCLDY    59  44  57 SW10      29.81R                     .
10PM EDT JUN 02 2012 PTCLDY    58  43  57 S7        29.82R                     .
11PM EDT JUN 02 2012 MOCLDY    58  45  62 SW7       29.84R                     .
12AM EDT JUN 03 2012 PTCLDY    57  46  66 SW6       29.83F                     .
 1AM EDT JUN 03 2012 PTCLDY    56  46  69 SW8       29.83S                     .
 2AM EDT JUN 03 2012 CLEAR     56  46  69 SW9       29.83S                     .
 3AM EDT JUN 03 2012 CLEAR     55  46  71 W8        29.82F                     .
 4AM EDT JUN 03 2012 CLEAR     54  46  74 SW8       29.81F                     .
 5AM EDT JUN 03 2012 PTCLDY    53  46  77 SW5       29.81S                     .
 6AM EDT JUN 03 2012 PTCLDY    54  46  74 SW10      29.81S                     .
 7AM EDT JUN 03 2012 PTSUNNY   54  46  74 SW8       29.82R                     .
 8AM EDT JUN 03 2012 NOT AVBL                                                  .
 9AM EDT JUN 03 2012 PTSUNNY   59  49  69 SW14G20   29.82                      .
10AM EDT JUN 03 2012 PTSUNNY   62  50  64 VRB6      29.82S                     .
11AM EDT JUN 03 2012 PTSUNNY   66  50  56 W9        29.81F                     .
12PM EDT JUN 03 2012 PTSUNNY   68  49  50 SW13G20   29.81S                     .
 1PM EDT JUN 03 2012 PTSUNNY   70  49  47 W13G23    29.80F                     .
 2PM EDT JUN 03 2012 PTSUNNY   72  48  42 W14G23    29.79F                     .
 3PM EDT JUN 03 2012 MOSUNNY   74  47  38 SW17G33   29.76F                     .
 4PM EDT JUN 03 2012 PTSUNNY   74  47  38 SW14G23   29.75F                     .
 5PM EDT JUN 03 2012 CLOUDY    71  47  42 W10       29.74F                     .
 6PM EDT JUN 03 2012 PTSUNNY   65  55  70 SW6       29.74F                     .
 7PM EDT JUN 03 2012 MOSUNNY   63  56  78 W7        29.74S                     .
 8PM EDT JUN 03 2012 PTCLDY    63  54  72 SW6       29.73F                     .
 9PM EDT JUN 03 2012 PTCLDY    63  51  65 SW7       29.74R                     .
10PM EDT JUN 03 2012 LGT RAIN  64  50  60 SW8       29.74S                     .
11PM EDT JUN 03 2012 MOCLDY    64  49  57 W7        29.75R                     .
12AM EDT JUN 04 2012 PTCLDY    60  49  66 W7        29.75S                     .
 1AM EDT JUN 04 2012 MOCLDY    60  49  66 NW7       29.75S                     .
 2AM EDT JUN 04 2012 PTCLDY    59  50  72 NW7       29.76R                     .
 3AM EDT JUN 04 2012 CLEAR     57  50  77 NW5       29.76S                     .
 4AM EDT JUN 04 2012 PTCLDY    55  50  83 NW3       29.74F                     .
 5AM EDT JUN 04 2012 PTCLDY    53  50  89 W5        29.73F                     .
 6AM EDT JUN 04 2012 MOCLDY    53  50  89 CALM      29.74R                     .
 7AM EDT JUN 04 2012 MOSUNNY   53  49  86 CALM      29.75R                     .
 8AM EDT JUN 04 2012 MOSUNNY   57  49  74 W7        29.76R                     .
 9AM EDT JUN 04 2012 PTSUNNY   59  47  64 NW8       29.78R                     .
10AM EDT JUN 04 2012 MOSUNNY   61  47  59 NW10      29.78S                     .
11AM EDT JUN 04 2012 PTSUNNY   64  46  52 N13G20    29.78S                     .
12PM EDT JUN 04 2012 PTSUNNY   64  47  53 N12       29.78S                     .
 1PM EDT JUN 04 2012 PTSUNNY   65  47  52 N12       29.78S                     .
 2PM EDT JUN 04 2012 CLOUDY    65  47  52 N13       29.78S                     .
 3PM EDT JUN 04 2012 CLOUDY    66  48  52 N10       29.79R                     .
 4PM EDT JUN 04 2012 PTSUNNY   66  47  50 NW13      29.78F                     .
 5PM EDT JUN 04 2012 CLOUDY    67  47  48 N14G21    29.78S                     .
 6PM EDT JUN 04 2012 CLOUDY    65  47  52 N12       29.79R                     .
 7PM EDT JUN 04 2012 CLOUDY    65  47  52 N10       29.79S                     .
 8PM EDT JUN 04 2012 MOCLDY    64  48  56 N8        29.80R                     .
 9PM EDT JUN 04 2012 MOCLDY    62  49  62 N12       29.82R                     .
10PM EDT JUN 04 2012 PTCLDY    60  49  66 N9G20     29.83R                     .
11PM EDT JUN 04 2012 PTCLDY    58  49  72 NE5       29.84R                     .
12AM EDT JUN 05 2012 CLEAR     56  48  74 N5        29.84S                     .
 1AM EDT JUN 05 2012 MOCLDY    56  48  74 NE5       29.85R                     .
 2AM EDT JUN 05 2012 CLOUDY    56  48  74 NE6       29.85S                     .
 3AM EDT JUN 05 2012 CLOUDY    54  48  80 NE5       29.85S                     .
 4AM EDT JUN 05 2012 CLOUDY    54  47  77 NE7       29.85S                     .
 5AM EDT JUN 05 2012 MOCLDY    54  47  77 NE6       29.85S                     .
 6AM EDT JUN 05 2012 PTCLDY    52  47  83 N6        29.87R                     .
 7AM EDT JUN 05 2012 PTSUNNY   52  47  83 NE8       29.89R                     .
 8AM EDT JUN 05 2012 PTSUNNY   54  47  77 NE8       29.90R                     .
 9AM EDT JUN 05 2012 PTSUNNY   58  48  69 E7        29.91R                     .
10AM EDT JUN 05 2012 PTSUNNY   58  47  66 VRB5      29.92R                     .
11AM EDT JUN 05 2012 CLOUDY    60  46  59 NE7       29.93R                     .
12PM EDT JUN 05 2012 CLOUDY    60  45  57 VRB5      29.94R                     .
 1PM EDT JUN 05 2012 CLOUDY    62  46  55 NE8       29.94S                     .
 2PM EDT JUN 05 2012 CLOUDY    62  47  57 VRB5      29.93F                     .
 3PM EDT JUN 05 2012 CLOUDY    61  48  62 N8        29.93S                     .
 4PM EDT JUN 05 2012 NOT AVBL                                                  .
 5PM EDT JUN 05 2012 CLOUDY    58  51  78 W5        29.92                      .
 6PM EDT JUN 05 2012 CLOUDY    62  48  60 N7        29.92S                     .
 7PM EDT JUN 05 2012 CLOUDY    56  52  86 CALM      29.94R                     .
 8PM EDT JUN 05 2012 CLOUDY    58  51  78 CALM      29.94S                     .
 9PM EDT JUN 05 2012 CLOUDY    58  51  78 CALM      29.95R                     .
10PM EDT JUN 05 2012 CLOUDY    57  50  77 CALM      29.96R                     .
11PM EDT JUN 05 2012 MOCLDY    57  49  74 N5        29.97R                     .
12AM EDT JUN 06 2012 PTCLDY    55  49  80 NE6       29.97S                     .
 1AM EDT JUN 06 2012 PTCLDY    54  48  80 CALM      29.98R                     .
 2AM EDT JUN 06 2012 PTCLDY    51  47  86 CALM      29.97F                     .
 3AM EDT JUN 06 2012 PTCLDY    50  47  89 CALM      29.97S                     .
 4AM EDT JUN 06 2012 PTCLDY    50  47  89 CALM      29.97S                     .
 5AM EDT JUN 06 2012 PTCLDY    49  45  86 CALM      29.98R                     .
 6AM EDT JUN 06 2012 PTCLDY    48  45  89 CALM      29.99R                     .
 7AM EDT JUN 06 2012 MOSUNNY   50  48  93 CALM      30.00R                     .
 8AM EDT JUN 06 2012 MOSUNNY   54  50  86 CALM      30.01R                     .
 9AM EDT JUN 06 2012 MOSUNNY   59  50  72 E7        30.02R                     .
10AM EDT JUN 06 2012 MOSUNNY   63  49  60 E8        30.03R                     .
11AM EDT JUN 06 2012 MOSUNNY   66  48  52 VRB3      30.03S                     .
12PM EDT JUN 06 2012 MOSUNNY   67  43  41 VRB6      30.03S                     .
 1PM EDT JUN 06 2012 MOSUNNY   69  41  36 E6        30.02F                     .
 2PM EDT JUN 06 2012 MOSUNNY   70  42  36 E5        30.00F                     .
 3PM EDT JUN 06 2012 MOSUNNY   70  40  33 E8        29.99F                     .
 4PM EDT JUN 06 2012 MOSUNNY   72  38  29 E6        29.98F                     .
 5PM EDT JUN 06 2012 MOSUNNY   74  41  30 NE7       29.98S                     .
 6PM EDT JUN 06 2012 MOSUNNY   73  40  30 N10G17    29.97F                     .
 7PM EDT JUN 06 2012 MOSUNNY   72  42  34 N8        29.98R                     .
 8PM EDT JUN 06 2012 PTCLDY    70  44  39 N10       29.99R                     .
 9PM EDT JUN 06 2012 PTCLDY    67  45  45 N10       30.00R                     .
10PM EDT JUN 06 2012 PTCLDY    64  47  53 N7        30.03R                     .
11PM EDT JUN 06 2012 PTCLDY    61  48  62 CALM      30.03S                     .
12AM EDT JUN 07 2012 PTCLDY    60  49  66 CALM      30.03S                     .
 1AM EDT JUN 07 2012 PTCLDY    58  49  72 CALM      30.03S                     .
 2AM EDT JUN 07 2012 CLEAR     55  49  80 CALM      30.03S                     .
 3AM EDT JUN 07 2012 PTCLDY    53  48  83 CALM      30.03S                     .
 4AM EDT JUN 07 2012 PTCLDY    52  48  86 CALM      30.02F                     .
 5AM EDT JUN 07 2012 PTCLDY    51  47  86 CALM      30.03R                     .
 6AM EDT JUN 07 2012 PTCLDY    52  47  83 CALM      30.05R                     .
 7AM EDT JUN 07 2012 MOSUNNY   54  48  80 CALM      30.05S                     .
 8AM EDT JUN 07 2012 MOSUNNY   58  50  75 W5        30.06R                     .
 9AM EDT JUN 07 2012 MOSUNNY   63  51  65 W9        30.07R                     .
10AM EDT JUN 07 2012 MOSUNNY   67  51  56 N9        30.07S                     .
11AM EDT JUN 07 2012 MOSUNNY   70  50  49 NW12      30.06F                     .
12PM EDT JUN 07 2012 MOSUNNY   72  48  42 NW13      30.06S                     .
 1PM EDT JUN 07 2012 MOSUNNY   75  48  38 N13       30.05F                     .
 2PM EDT JUN 07 2012 MOSUNNY   76  46  34 N8G18     30.04F                     .
 3PM EDT JUN 07 2012 MOSUNNY   75  45  34 NW14G20   30.03F                     .
 4PM EDT JUN 07 2012 PTSUNNY   76  44  32 W13       30.01F                     .
 5PM EDT JUN 07 2012 PTSUNNY   73  45  36 W8        30.02R                     .
 6PM EDT JUN 07 2012 PTSUNNY   74  45  35 NW7       30.01F                     .
 7PM EDT JUN 07 2012 PTSUNNY   73  46  38 N6        30.02R                     .
 8PM EDT JUN 07 2012 MOCLDY    71  47  42 NW3       30.02S                     .
 9PM EDT JUN 07 2012 PTCLDY    71  46  40 NW6       30.02S                     .
10PM EDT JUN 07 2012 PTCLDY    66  49  54 NW3       30.04R                     .
11PM EDT JUN 07 2012 CLEAR     63  51  65 CALM      30.04S                     .
12AM EDT JUN 08 2012 CLEAR     59  51  75 CALM      30.04S                     .
 1AM EDT JUN 08 2012 CLEAR     60  51  72 CALM      30.05R                     .
 2AM EDT JUN 08 2012 CLEAR     57  50  77 CALM      30.05S                     .
 3AM EDT JUN 08 2012 CLEAR     56  50  80 CALM      30.04F                     .
 4AM EDT JUN 08 2012 CLEAR     55  49  80 W3        30.03F                     .
 5AM EDT JUN 08 2012 CLEAR     55  49  80 CALM      30.03S                     .
 6AM EDT JUN 08 2012 PTCLDY    53  48  83 W5        30.04R                     .
 7AM EDT JUN 08 2012 MOSUNNY   54  49  83 CALM      30.05R                     .
 8AM EDT JUN 08 2012 MOSUNNY   62  51  67 CALM      30.06R                     .
 9AM EDT JUN 08 2012 MOSUNNY   66  50  56 W5        30.07R                     .
10AM EDT JUN 08 2012 MOSUNNY   71  51  49 W6        30.07S                     .
11AM EDT JUN 08 2012 MOSUNNY   75  50  41 W8        30.06F                     .
