TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT JUL 31 2013 MOCLDY    72  60  66 S5        30.01F                   AUG
 9PM EDT JUL 31 2013 MOCLDY    70  62  76 S7        30.00F                   AUG
10PM EDT JUL 31 2013 MOCLDY    69  63  81 S3        30.00S                   AUG
11PM EDT JUL 31 2013 CLOUDY    68  62  81 S6        29.99F                   AUG
12AM EDT AUG 01 2013 CLOUDY    67  62  84 S5        29.98F                   AUG
 1AM EDT AUG 01 2013 CLOUDY    66  62  87 S3        29.97F                   AUG
 2AM EDT AUG 01 2013 CLOUDY    66  62  87 S3        29.95F                   AUG
 3AM EDT AUG 01 2013 CLOUDY    66  62  87 S3        29.92F                     .
 4AM EDT AUG 01 2013 CLOUDY    66  62  87 SW5       29.91F                     .
 5AM EDT AUG 01 2013 CLOUDY    66  62  87 SW6       29.90S                     .
 6AM EDT AUG 01 2013 DRIZZLE   66  63  90 SW6       29.89F                     .
 7AM EDT AUG 01 2013 DRIZZLE   66  64  93 S3        29.89S FOG                 .
 8AM EDT AUG 01 2013 DRIZZLE   67  64  90 SW7       29.91R FOG                 .
 9AM EDT AUG 01 2013 CLOUDY    68  65  90 W8        29.92R                     .
10AM EDT AUG 01 2013 CLOUDY    69  65  86 W7        29.92S                     .
11AM EDT AUG 01 2013 PTSUNNY   72  64  76 W10       29.92S                     .
12PM EDT AUG 01 2013 PTSUNNY   74  62  66 W14       29.92S                     .
 1PM EDT AUG 01 2013 MOSUNNY   76  60  57 NW9       29.92S                     .
 2PM EDT AUG 01 2013 MOSUNNY   78  59  51 NW9G17    29.91F                     .
 3PM EDT AUG 01 2013 MOSUNNY   79  59  50 NW13G21   29.91S                     .
 4PM EDT AUG 01 2013 MOSUNNY   79  58  48 NW14      29.90F                     .
 5PM EDT AUG 01 2013 MOSUNNY   80  59  48 NW14      29.89F                     .
 6PM EDT AUG 01 2013 MOSUNNY   79  57  46 W14       29.90R                     .
 7PM EDT AUG 01 2013 MOSUNNY   78  56  46 W10       29.91R                     .
 8PM EDT AUG 01 2013 MOCLDY    76  58  53 NW8       29.92R                     .
 9PM EDT AUG 01 2013 MOCLDY    72  57  59 W5        29.92S                     .
10PM EDT AUG 01 2013 MOCLDY    70  57  63 NW5       29.93R                     .
11PM EDT AUG 01 2013 PTCLDY    67  58  72 W3        29.94R                     .
12AM EDT AUG 02 2013 PTCLDY    65  57  75 W3        29.95R                     .
 1AM EDT AUG 02 2013 PTCLDY    64  58  80 CALM      29.94F                     .
 2AM EDT AUG 02 2013 PTCLDY    61  57  87 W5        29.94S                     .
 3AM EDT AUG 02 2013 CLEAR     61  57  87 CALM      29.93F                     .
 4AM EDT AUG 02 2013 CLEAR     60  57  89 CALM      29.93S                     .
 5AM EDT AUG 02 2013 CLEAR     61  57  87 CALM      29.93S                     .
 6AM EDT AUG 02 2013 PTCLDY    60  57  89 CALM      29.95R                     .
 7AM EDT AUG 02 2013 PTCLDY    60  57  89 W5        29.97R                     .
 8AM EDT AUG 02 2013 MOSUNNY   63  58  83 W8        29.98R                     .
 9AM EDT AUG 02 2013 MOSUNNY   66  58  75 W5        29.99R                     .
10AM EDT AUG 02 2013 MOSUNNY   68  58  70 SW7       29.99S                     .
11AM EDT AUG 02 2013 MOSUNNY   71  55  56 W10       30.00R                     .
12PM EDT AUG 02 2013 MOSUNNY   73  51  46 W14G21    30.00S                     .
 1PM EDT AUG 02 2013 PTSUNNY   75  52  44 W12       30.00S                     .
 2PM EDT AUG 02 2013 PTSUNNY   74  50  42 W10       30.01R                     .
 3PM EDT AUG 02 2013 PTSUNNY   73  51  46 W9G18     30.01S                     .
 4PM EDT AUG 02 2013 CLOUDY    75  50  41 SW15G24   29.99F                     .
 5PM EDT AUG 02 2013 PTSUNNY   73  52  47 W5        29.99S                     .
 6PM EDT AUG 02 2013 CLOUDY    73  55  53 SW6       29.97F                     .
 7PM EDT AUG 02 2013 CLOUDY    73  56  54 SW6       29.95F                     .
 8PM EDT AUG 02 2013 MOCLDY    73  58  59 SW5       29.95S                     .
 9PM EDT AUG 02 2013 MOCLDY    72  59  63 SW6       29.95S                     .
10PM EDT AUG 02 2013 CLOUDY    72  59  63 SW7       29.96R                     .
11PM EDT AUG 02 2013 CLOUDY    72  60  66 SW5       29.96S                     .
12AM EDT AUG 03 2013 CLOUDY    72  60  66 SW6       29.96S                     .
 1AM EDT AUG 03 2013 CLOUDY    72  60  66 SW7       29.96S                     .
 2AM EDT AUG 03 2013 LGT RAIN  71  60  68 SW8       29.96S                     .
 3AM EDT AUG 03 2013 LGT RAIN  68  62  81 W12G20    29.98R                     .
 4AM EDT AUG 03 2013 LGT RAIN  66  63  90 W12       29.97F                     .
 5AM EDT AUG 03 2013 CLOUDY    66  63  90 W8        29.98R                     .
 6AM EDT AUG 03 2013 CLOUDY    66  63  90 SW5       29.98S                     .
 7AM EDT AUG 03 2013 LGT RAIN  65  63  93 W7        29.99R FOG                 .
 8AM EDT AUG 03 2013 LGT RAIN  64  62  93 W6        29.99S FOG                 .
 9AM EDT AUG 03 2013 CLOUDY    64  62  93 SW5       29.99S                     .
10AM EDT AUG 03 2013 CLOUDY    65  62  90 SW3       29.99S                     .
11AM EDT AUG 03 2013 CLOUDY    66  63  90 W6        29.99S                     .
12PM EDT AUG 03 2013 PTSUNNY   69  63  81 SW7       29.99S                     .
 1PM EDT AUG 03 2013 PTSUNNY   74  62  66 W6        29.99S                     .
 2PM EDT AUG 03 2013 PTSUNNY   74  62  66 SW8       29.98F                     .
 3PM EDT AUG 03 2013 PTSUNNY   75  63  66 SW7       29.97F                     .
 4PM EDT AUG 03 2013 MOSUNNY   75  62  64 SW10      29.96F                     .
 5PM EDT AUG 03 2013 PTSUNNY   75  60  59 W8        29.96S                     .
 6PM EDT AUG 03 2013 MOSUNNY   78  55  44 NW13      29.97R                     .
 7PM EDT AUG 03 2013 PTSUNNY   76  53  44 NW12      29.98R                     .
 8PM EDT AUG 03 2013 MOCLDY    74  54  49 N10       29.99R                     .
 9PM EDT AUG 03 2013 PTCLDY    71  53  52 N3        30.00R                     .
10PM EDT AUG 03 2013 PTCLDY    65  55  70 NW3       30.01R                     .
11PM EDT AUG 03 2013 CLEAR     64  55  72 CALM      30.01S                     .
12AM EDT AUG 04 2013 CLEAR     62  54  74 CALM      30.02R                     .
 1AM EDT AUG 04 2013 CLEAR     61  53  75 CALM      30.02S                     .
 2AM EDT AUG 04 2013 CLEAR     58  53  84 W5        30.02S                     .
 3AM EDT AUG 04 2013 CLEAR     57  53  86 CALM      30.02S                     .
 4AM EDT AUG 04 2013 PTCLDY    57  52  83 CALM      30.01F                     .
 5AM EDT AUG 04 2013 PTCLDY    56  52  86 CALM      30.02R                     .
