TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 6AM EDT AUG 04 2013 CLOUDY    58  53  84 NW12      30.05R                     .
 7AM EDT AUG 04 2013 CLOUDY    59  56  89 N5        30.05S                     .
 8AM EDT AUG 04 2013 PTSUNNY   59  57  93 NW5       30.07R                     .
 9AM EDT AUG 04 2013 PTSUNNY   62  56  80 N7        30.08R                     .
10AM EDT AUG 04 2013 MOSUNNY   66  56  70 N8        30.09R                     .
11AM EDT AUG 04 2013 PTSUNNY   68  55  63 NW10      30.08F                     .
12PM EDT AUG 04 2013 PTSUNNY   71  53  52 NW10G21   30.09R                     .
 1PM EDT AUG 04 2013 PTSUNNY   72  54  53 NW10      30.09S                     .
 2PM EDT AUG 04 2013 MOSUNNY   72  51  47 N16       30.09S                     .
 3PM EDT AUG 04 2013 PTSUNNY   72  50  45 N14       30.09S                     .
 4PM EDT AUG 04 2013 MOSUNNY   74  52  46 NW14      30.08F                     .
 5PM EDT AUG 04 2013 MOSUNNY   74  52  46 N12       30.07F                     .
 6PM EDT AUG 04 2013 MOSUNNY   74  51  44 N12G18    30.08R                     .
 7PM EDT AUG 04 2013 MOSUNNY   72  50  45 NW14      30.08S                     .
 8PM EDT AUG 04 2013 PTCLDY    69  51  52 NW10      30.09R                     .
 9PM EDT AUG 04 2013 PTCLDY    67  50  54 N9        30.10R                     .
10PM EDT AUG 04 2013 PTCLDY    65  52  62 NW8       30.11R                     .
11PM EDT AUG 04 2013 MOCLDY    64  52  64 N8        30.11S                     .
12AM EDT AUG 05 2013 MOCLDY    62  53  72 NW8       30.11S                     .
 1AM EDT AUG 05 2013 MOCLDY    61  53  75 NW5       30.12R                     .
 2AM EDT AUG 05 2013 MOCLDY    59  53  80 CALM      30.11F                     .
 3AM EDT AUG 05 2013 MOCLDY    59  53  80 CALM      30.12R                     .
 4AM EDT AUG 05 2013 PTCLDY    56  52  86 CALM      30.12S                     .
 5AM EDT AUG 05 2013 PTCLDY    54  51  90 NW3       30.12S                     .
 6AM EDT AUG 05 2013 PTCLDY    54  50  86 CALM      30.12S                     .
 7AM EDT AUG 05 2013 PTCLDY    53  50  89 CALM      30.13R                     .
 8AM EDT AUG 05 2013 MOSUNNY   57  52  83 CALM      30.14R                     .
 9AM EDT AUG 05 2013 MOSUNNY   60  53  77 CALM      30.15R                     .
10AM EDT AUG 05 2013 MOSUNNY   64  53  67 CALM      30.15S                     .
11AM EDT AUG 05 2013 PTSUNNY   67  51  56 CALM      30.14F                     .
12PM EDT AUG 05 2013 CLOUDY    69  50  50 VRB5      30.14S                     .
 1PM EDT AUG 05 2013 CLOUDY    71  47  42 CALM      30.11F                     .
 2PM EDT AUG 05 2013 CLOUDY    72  48  42 NW6       30.09F                     .
 3PM EDT AUG 05 2013 PTSUNNY   72  47  40 NW8       30.08F                     .
 4PM EDT AUG 05 2013 CLOUDY    72  47  40 W7        30.07F                     .
 5PM EDT AUG 05 2013 CLOUDY    72  49  44 W7        30.07S                     .
 6PM EDT AUG 05 2013 CLOUDY    70  51  51 W5        30.08R                     .
 7PM EDT AUG 05 2013 CLOUDY    70  51  51 CALM      30.06F                     .
 8PM EDT AUG 05 2013 CLOUDY    68  52  56 CALM      30.05F                     .
 9PM EDT AUG 05 2013 CLOUDY    67  52  58 CALM      30.04F                     .
10PM EDT AUG 05 2013 CLOUDY    66  54  65 CALM      30.05R                     .
11PM EDT AUG 05 2013 CLOUDY    65  54  67 CALM      30.04F                     .
12AM EDT AUG 06 2013 MOCLDY    64  53  67 CALM      30.04S                     .
 1AM EDT AUG 06 2013 PTCLDY    61  55  81 CALM      30.04S                     .
 2AM EDT AUG 06 2013 PTCLDY    59  53  80 CALM      30.04S                     .
 3AM EDT AUG 06 2013 PTCLDY    59  54  83 CALM      30.03F                     .
 4AM EDT AUG 06 2013 MOCLDY    58  54  86 CALM      30.03S                     .
 5AM EDT AUG 06 2013 CLOUDY    60  55  83 CALM      30.03S                     .
 6AM EDT AUG 06 2013 MOCLDY    59  55  87 CALM      30.03S                     .
 7AM EDT AUG 06 2013 PTCLDY    59  55  87 CALM      30.03S                     .
 8AM EDT AUG 06 2013 MOSUNNY   61  54  77 CALM      30.03S                     .
 9AM EDT AUG 06 2013 MOSUNNY   66  56  70 CALM      30.05R                     .
10AM EDT AUG 06 2013 MOSUNNY   69  54  58 SE3       30.05S                     .
11AM EDT AUG 06 2013 MOSUNNY   72  52  49 E3        30.05S                     .
12PM EDT AUG 06 2013 MOSUNNY   74  51  44 VRB5      30.04F                     .
 1PM EDT AUG 06 2013 MOSUNNY   75  49  39 CALM      30.03F                     .
 2PM EDT AUG 06 2013 MOSUNNY   78  48  34 VRB3      30.03S                     .
 3PM EDT AUG 06 2013 MOSUNNY   79  50  36 E6        30.02F                     .
 4PM EDT AUG 06 2013 MOSUNNY   80  52  37 VRB3      30.01F                     .
 5PM EDT AUG 06 2013 MOSUNNY   79  52  38 S9        30.00F                     .
 6PM EDT AUG 06 2013 MOSUNNY   79  52  38 S6        30.00S                     .
 7PM EDT AUG 06 2013 MOSUNNY   78  53  41 S7        30.01R                     .
 8PM EDT AUG 06 2013 PTCLDY    77  53  43 SW5       30.00F                     .
 9PM EDT AUG 06 2013 PTCLDY    73  56  54 SE3       29.99F                     .
10PM EDT AUG 06 2013 PTCLDY    72  56  57 CALM      30.00R                     .
11PM EDT AUG 06 2013 PTCLDY    69  58  67 CALM      30.00S                     .
12AM EDT AUG 07 2013 PTCLDY    67  58  72 CALM      30.00S                     .
 1AM EDT AUG 07 2013 CLEAR     64  58  80 CALM      30.00S                     .
 2AM EDT AUG 07 2013 CLEAR     66  58  75 CALM      30.00S                     .
 3AM EDT AUG 07 2013 CLEAR     64  58  80 CALM      30.00S                     .
 4AM EDT AUG 07 2013 MOCLDY    65  58  78 CALM      30.00S                     .
 5AM EDT AUG 07 2013 MOCLDY    64  59  83 CALM      29.99F                     .
 6AM EDT AUG 07 2013 MOCLDY    64  59  83 CALM      29.99S                     .
 7AM EDT AUG 07 2013 CLOUDY    63  59  87 CALM      29.99S                     .
 8AM EDT AUG 07 2013 CLOUDY    65  61  87 S5        29.98F                     .
 9AM EDT AUG 07 2013 CLOUDY    68  62  81 SE3       30.00R                     .
10AM EDT AUG 07 2013 CLOUDY    71  63  75 SE6       30.00S                     .
11AM EDT AUG 07 2013 CLOUDY    74  64  71 SE3       30.00S                     .
12PM EDT AUG 07 2013 CLOUDY    76  64  66 S6        30.00S                     .
 1PM EDT AUG 07 2013 PTSUNNY   80  66  62 S9        29.98F                     .
 2PM EDT AUG 07 2013 PTSUNNY   82  65  56 S8        29.98S                     .
 3PM EDT AUG 07 2013 CLOUDY    82  66  58 SW10      29.97F                     .
 4PM EDT AUG 07 2013 CLOUDY    83  66  56 SW9       29.95F HX  85              .
 5PM EDT AUG 07 2013 TSTM      75  68  78 SW8       29.96S                     .
 6PM EDT AUG 07 2013 TSTM      71  65  81 NE8       29.94F                     .
 7PM EDT AUG 07 2013 CLOUDY    70  66  87 SW7       29.99R                     .
 8PM EDT AUG 07 2013 CLOUDY    70  67  90 SE6       29.97F                     .
 9PM EDT AUG 07 2013 CLOUDY    69  66  90 SE6       29.98R                     .
10PM EDT AUG 07 2013 CLOUDY    68  65  90 SE8       30.00R                     .
11PM EDT AUG 07 2013 CLOUDY    68  65  90 S7        29.99F                     .
12AM EDT AUG 08 2013 CLOUDY    68  65  90 S5        30.00R                     .
 1AM EDT AUG 08 2013 MOCLDY    68  65  90 S3        29.99F                     .
 2AM EDT AUG 08 2013 CLOUDY    69  65  86 S5        29.98F                     .
 3AM EDT AUG 08 2013 CLOUDY    69  65  86 CALM      29.97F                     .
 4AM EDT AUG 08 2013 MOCLDY    69  65  86 CALM      29.97S                     .
 5AM EDT AUG 08 2013 MOCLDY    67  64  90 CALM      29.97S                     .
 6AM EDT AUG 08 2013 MOCLDY    67  65  93 CALM      29.98R                     .
 7AM EDT AUG 08 2013 MOCLDY    67  65  93 CALM      29.98S                     .
 8AM EDT AUG 08 2013 CLOUDY    69  66  90 S3        29.98S                     .
 9AM EDT AUG 08 2013 PTSUNNY   72  66  83 S3        29.99S                     .
10AM EDT AUG 08 2013 CLOUDY    75  69  81 S5        29.99S                     .
11AM EDT AUG 08 2013 CLOUDY    76  69  79 SW5       29.99S                     .
12PM EDT AUG 08 2013 CLOUDY    78  70  76 VRB3      30.00R                     .
 1PM EDT AUG 08 2013 LGT RAIN  80  70  71 VRB6      30.00S                     .
 2PM EDT AUG 08 2013 PTSUNNY   81  70  69 SW7       29.98F                     .
 3PM EDT AUG 08 2013 PTSUNNY   84  69  60 SW9       29.97F HX  88              .
 4PM EDT AUG 08 2013 PTSUNNY   83  69  62 SW9       29.96F HX  86              .
 5PM EDT AUG 08 2013 PTSUNNY   83  69  62 S8        29.93F HX  86              .
 6PM EDT AUG 08 2013 PTSUNNY   83  69  62 SW9       29.94R HX  86              .
 7PM EDT AUG 08 2013 CLOUDY    81  69  67 S12       29.93F                     .
 8PM EDT AUG 08 2013 CLOUDY    79  69  71 S5        29.94R                     .
 9PM EDT AUG 08 2013 CLOUDY    75  67  76 NE3       29.97R                     .
10PM EDT AUG 08 2013 CLOUDY    75  67  76 N6        29.97S                     .
11PM EDT AUG 08 2013 CLOUDY    73  67  81 NW5       29.95F                     .
12AM EDT AUG 09 2013 CLOUDY    73  67  81 CALM      29.94F                     .
 1AM EDT AUG 09 2013 CLOUDY    72  68  87 CALM      29.92F                     .
 2AM EDT AUG 09 2013 CLOUDY    72  68  87 CALM      29.93R                     .
 3AM EDT AUG 09 2013 CLOUDY    72  69  90 CALM      29.93S                     .
 4AM EDT AUG 09 2013 CLOUDY    72  69  90 CALM      29.93S                     .
 5AM EDT AUG 09 2013 CLOUDY    72  69  90 CALM      29.92F                     .
 6AM EDT AUG 09 2013 LGT RAIN  72  70  93 CALM      29.91F FOG                 .
 7AM EDT AUG 09 2013 LGT RAIN  72  70  93 CALM      29.92R FOG                 .
 8AM EDT AUG 09 2013 CLOUDY    73  70  90 SW5       29.92S FOG                 .
 9AM EDT AUG 09 2013 CLOUDY    73  71  93 W5        29.92S FOG                 .
10AM EDT AUG 09 2013 CLOUDY    74  70  87 W5        29.92S                     .
11AM EDT AUG 09 2013 PTSUNNY   76  70  82 W12       29.93R                     .
12PM EDT AUG 09 2013 LGT RAIN  75  70  84 W13       29.93S                     .
 1PM EDT AUG 09 2013 CLOUDY    73  68  84 NW13      29.96R                     .
 2PM EDT AUG 09 2013 CLOUDY    74  67  78 NW9       29.95F                     .
 3PM EDT AUG 09 2013 CLOUDY    75  67  76 NW8       29.96R                     .
 4PM EDT AUG 09 2013 CLOUDY    74  67  78 NW9       29.95F                     .
 5PM EDT AUG 09 2013 PTSUNNY   76  66  71 W10       29.96R                     .
 6PM EDT AUG 09 2013 MOSUNNY   77  65  66 NW9       29.96R                     .
 7PM EDT AUG 09 2013 PTSUNNY   77  65  66 NW8       29.97R                     .
 8PM EDT AUG 09 2013 PTCLDY    76  64  66 NW8       29.98R                     .
 9PM EDT AUG 09 2013 PTCLDY    72  64  76 W3        29.99R                     .
10PM EDT AUG 09 2013 PTCLDY    71  61  70 NW5       30.01R                     .
11PM EDT AUG 09 2013 MOCLDY    67  62  84 NW6       30.03R                     .
12AM EDT AUG 10 2013 MOCLDY    67  58  72 NW3       30.04R                     .
 1AM EDT AUG 10 2013 CLOUDY    65  58  78 CALM      30.05R                     .
 2AM EDT AUG 10 2013 CLOUDY    62  58  86 CALM      30.06R                     .
 3AM EDT AUG 10 2013 CLOUDY    62  58  86 CALM      30.06S                     .
 4AM EDT AUG 10 2013 CLOUDY    62  58  86 W6        30.06S                     .
 5AM EDT AUG 10 2013 CLOUDY    63  58  83 CALM      30.06S                     .
 6AM EDT AUG 10 2013 CLOUDY    62  58  86 S3        30.06S                     .
 7AM EDT AUG 10 2013 CLOUDY    63  58  83 CALM      30.08R                     .
 8AM EDT AUG 10 2013 PTSUNNY   63  59  87 CALM      30.09R                     .
 9AM EDT AUG 10 2013 MOSUNNY   69  57  65 CALM      30.11R                     .
10AM EDT AUG 10 2013 MOSUNNY   71  59  65 CALM      30.11S                     .
11AM EDT AUG 10 2013 PTSUNNY   74  61  63 SE3       30.12R                     .
12PM EDT AUG 10 2013 PTSUNNY   76  60  57 NW3       30.12S                     .
 1PM EDT AUG 10 2013 MOSUNNY   78  61  55 CALM      30.11F                     .
 2PM EDT AUG 10 2013 PTSUNNY   79  60  52 W8        30.11S                     .
 3PM EDT AUG 10 2013 MOSUNNY   80  60  50 W7        30.09F                     .
 4PM EDT AUG 10 2013 MOSUNNY   81  59  47 NW10      30.09S                     .
 5PM EDT AUG 10 2013 PTSUNNY   80  60  50 NW5       30.08F                     .
 6PM EDT AUG 10 2013 PTSUNNY   79  61  53 NW7       30.08S                     .
 7PM EDT AUG 10 2013 PTSUNNY   78  61  55 NW7       30.08S                     .
 8PM EDT AUG 10 2013 MOCLDY    77  60  55 N7        30.08S                     .
 9PM EDT AUG 10 2013 MOCLDY    76  60  57 N6        30.10R                     .
10PM EDT AUG 10 2013 MOCLDY    73  60  63 N8        30.11R                     .
11PM EDT AUG 10 2013 PTCLDY    71  60  68 NE6       30.11S                     .
12AM EDT AUG 11 2013 CLOUDY    70  59  68 CALM      30.12R                     .
 1AM EDT AUG 11 2013 CLOUDY    70  57  63 NE3       30.12S                     .
 2AM EDT AUG 11 2013 CLOUDY    69  57  65 N6        30.11F                     .
 3AM EDT AUG 11 2013 CLOUDY    67  55  65 N3        30.11S                     .
 4AM EDT AUG 11 2013 CLOUDY    67  54  63 N6        30.12R                     .
 5AM EDT AUG 11 2013 CLOUDY    66  55  67 NE5       30.12S                     .
 6AM EDT AUG 11 2013 MOCLDY    65  54  67 CALM      30.12S                     .
 7AM EDT AUG 11 2013 MOCLDY    64  54  69 NE3       30.13R                     .
 8AM EDT AUG 11 2013 PTSUNNY   64  55  72 NE3       30.13S                     .
 9AM EDT AUG 11 2013 PTSUNNY   68  55  63 N7        30.15R                     .
10AM EDT AUG 11 2013 PTSUNNY   68  55  63 VRB3      30.15S                     .
11AM EDT AUG 11 2013 MOSUNNY   73  54  51 E9        30.14F                     .
12PM EDT AUG 11 2013 CLOUDY    73  54  51 E5        30.14S                     .
 1PM EDT AUG 11 2013 PTSUNNY   76  56  49 SE5       30.12F                     .
 2PM EDT AUG 11 2013 MOSUNNY   77  59  53 S3        30.11F                     .
 3PM EDT AUG 11 2013 MOSUNNY   81  60  48 CALM      30.09F                     .
 4PM EDT AUG 11 2013 MOSUNNY   81  61  50 VRB6      30.07F                     .
 5PM EDT AUG 11 2013 MOSUNNY   82  62  50 N3        30.05F                     .
 6PM EDT AUG 11 2013 PTSUNNY   80  62  54 N8        30.05S                     .
 7PM EDT AUG 11 2013 PTSUNNY   77  64  64 N5        30.05S                     .
 8PM EDT AUG 11 2013 MOCLDY    74  66  76 SW3       30.05S                     .
 9PM EDT AUG 11 2013 MOCLDY    76  64  66 N5        30.06R                     .
10PM EDT AUG 11 2013 MOCLDY    75  63  66 CALM      30.07R                     .
11PM EDT AUG 11 2013 MOCLDY    72  64  76 CALM      30.08R                     .
12AM EDT AUG 12 2013 PTCLDY    70  67  90 CALM      30.07F                     .
 1AM EDT AUG 12 2013 PTCLDY    68  65  90 CALM      30.07S                     .
 2AM EDT AUG 12 2013 PTCLDY    67  65  93 W3        30.08R                     .
 3AM EDT AUG 12 2013 MOCLDY    67  63  87 CALM      30.07F                     .
 4AM EDT AUG 12 2013 PTCLDY    65  63  93 W3        30.07S                     .
 5AM EDT AUG 12 2013 PTCLDY    65  62  90 CALM      30.07S                     .
 6AM EDT AUG 12 2013 PTCLDY    64  61  90 CALM      30.06F                     .
 7AM EDT AUG 12 2013 PTCLDY    63  60  90 CALM      30.07R                     .
 8AM EDT AUG 12 2013 PTSUNNY   65  62  90 CALM      30.08R                     .
 9AM EDT AUG 12 2013 MOSUNNY   68  63  84 CALM      30.08S                     .
10AM EDT AUG 12 2013 MOSUNNY   73  63  70 CALM      30.07F                     .
11AM EDT AUG 12 2013 MOSUNNY   76  59  55 VRB5      30.08R                     .
12PM EDT AUG 12 2013 MOSUNNY   78  60  53 S7        30.07F                     .
 1PM EDT AUG 12 2013 MOSUNNY   79  59  50 VRB6      30.05F                     .
 2PM EDT AUG 12 2013 MOSUNNY   82  59  45 W7        30.03F                     .
 3PM EDT AUG 12 2013 PTSUNNY   81  59  47 W3        30.03S                     .
 4PM EDT AUG 12 2013 MOSUNNY   82  61  48 W9        30.01F                     .
 5PM EDT AUG 12 2013 MOSUNNY   81  61  50 SW7       29.98F                     .
 6PM EDT AUG 12 2013 MOSUNNY   81  61  50 SW7       29.98S                     .
 7PM EDT AUG 12 2013 PTSUNNY   81  61  50 SW8       29.96F                     .
 8PM EDT AUG 12 2013 CLOUDY    79  62  56 SW5       29.95F                     .
 9PM EDT AUG 12 2013 CLOUDY    77  64  64 S3        29.94F                     .
10PM EDT AUG 12 2013 CLOUDY    76  63  64 S5        29.95R                     .
11PM EDT AUG 12 2013 CLOUDY    74  64  71 S3        29.92F                     .
12AM EDT AUG 13 2013 CLOUDY    73  64  73 S5        29.91F                     .
 1AM EDT AUG 13 2013 NOT AVBL                                                  .
 2AM EDT AUG 13 2013 CLOUDY    73  65  75 S3        29.85                      .
 3AM EDT AUG 13 2013 CLOUDY    72  66  81 SW6       29.85S                     .
 4AM EDT AUG 13 2013 CLOUDY    72  66  81 SW5       29.84F                     .
 5AM EDT AUG 13 2013 CLOUDY    71  66  84 S6        29.83F                     .
 6AM EDT AUG 13 2013 CLOUDY    71  66  84 SW7       29.82F                     .
 7AM EDT AUG 13 2013 MOCLDY    70  65  84 SW8       29.83R                     .
 8AM EDT AUG 13 2013 PTSUNNY   70  65  84 SW6       29.84R                     .
 9AM EDT AUG 13 2013 PTSUNNY   71  66  84 SW8       29.84S                     .
10AM EDT AUG 13 2013 PTSUNNY   74  66  76 NW10G16   29.85R                     .
11AM EDT AUG 13 2013 PTSUNNY   75  63  66 NW16      29.86R                     .
12PM EDT AUG 13 2013 PTSUNNY   76  60  57 N14       29.87R                     .
 1PM EDT AUG 13 2013 MOSUNNY   79  60  52 NW9       29.86F                     .
 2PM EDT AUG 13 2013 PTSUNNY   75  60  59 NW13      29.87R                     .
 3PM EDT AUG 13 2013 MOSUNNY   79  58  48 NW16G24   29.86F                     .
 4PM EDT AUG 13 2013 MOSUNNY   77  57  50 NW16      29.87R                     .
 5PM EDT AUG 13 2013 PTSUNNY   75  57  53 NW21      29.88R                     .
 6PM EDT AUG 13 2013 PTSUNNY   72  56  57 N20       29.89R                     .
 7PM EDT AUG 13 2013 CLOUDY    69  54  58 N16G23    29.90R                     .
 8PM EDT AUG 13 2013 MOCLDY    67  51  56 NW12      29.93R                     .
 9PM EDT AUG 13 2013 MOCLDY    64  49  57 N16       29.95R                     .
10PM EDT AUG 13 2013 MOCLDY    62  47  57 N13       29.98R                     .
11PM EDT AUG 13 2013 PTCLDY    60  47  61 N9        29.99R                     .
