TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT MAY 31 2013 MOCLDY    84  59  42 SW6       30.02R                   JUN
 9PM EDT MAY 31 2013 FAIR      81  59  47 S3        30.01F                   JUN
10PM EDT MAY 31 2013 PTCLDY    76  60  57 S5        30.01S                   JUN
11PM EDT MAY 31 2013 MOCLDY    76  60  57 SW3       30.02R                   JUN
12AM EDT JUN 01 2013 MOCLDY    72  60  66 W9G17     30.03F                   JUN
 1AM EDT JUN 01 2013 MOCLDY    69  61  75 W5        30.03S                   JUN
 2AM EDT JUN 01 2013 CLOUDY    69  63  81 CALM      30.01F                   JUN
 3AM EDT JUN 01 2013 CLOUDY    67  63  87 S3        30.01S                     .
 4AM EDT JUN 01 2013 CLOUDY    67  62  84 S7        29.99F                     .
 5AM EDT JUN 01 2013 CLOUDY    68  61  78 S7        29.99S                     .
 6AM EDT JUN 01 2013 CLOUDY    68  62  81 S6        30.00R                     .
 7AM EDT JUN 01 2013 LGT RAIN  70  62  76 S7        30.00S                     .
 8AM EDT JUN 01 2013 PTSUNNY   71  63  75 S7        30.00S                     .
 9AM EDT JUN 01 2013 MOSUNNY   75  64  68 S8        29.99F                     .
10AM EDT JUN 01 2013 MOSUNNY   78  63  59 SW12G18   29.98F                     .
11AM EDT JUN 01 2013 PTSUNNY   82  62  50 SW14G23   29.97F                     .
12PM EDT JUN 01 2013 PTSUNNY   83  62  49 SW17G23   29.96F                     .
 1PM EDT JUN 01 2013 PTSUNNY   83  61  47 SW20G28   29.95F                     .
