TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT OCT 31 2012 LGT RAIN  39  37  92 W8        29.61R                   NOV
 9PM EDT OCT 31 2012 LGT RAIN  39  36  89 W7        29.62R                   NOV
10PM EDT OCT 31 2012 LGT RAIN  38  36  92 W6        29.63R                   NOV
11PM EDT OCT 31 2012 LGT RAIN  38  36  92 SW7       29.63S                   NOV
12AM EDT NOV 01 2012 NOT AVBL                                                NOV
 1AM EDT NOV 01 2012 LGT RAIN  39  37  92 W10       29.63                    NOV
 2AM EDT NOV 01 2012 LGT RAIN  39  37  92 W10G16    29.63S                   NOV
 3AM EDT NOV 01 2012 LGT RAIN  39  37  92 W7        29.64R                     .
 4AM EDT NOV 01 2012 LGT RAIN  39  36  89 W9G17     29.63F                     .
 5AM EDT NOV 01 2012 FLURRIES  39  36  89 W9        29.63S                     .
 6AM EDT NOV 01 2012 FLURRIES  39  36  89 W8        29.64R                     .
 7AM EDT NOV 01 2012 FLURRIES  39  36  89 W9        29.65R                     .
 8AM EDT NOV 01 2012 FLURRIES  39  36  89 W8        29.66R                     .
 9AM EDT NOV 01 2012 DRIZZLE   39  36  89 W9        29.67R FOG                 .
10AM EDT NOV 01 2012 LGT RAIN  39  37  92 W9G16     29.69R                     .
11AM EDT NOV 01 2012 LGT SNOW  40  37  89 W10G18    29.70R FOG                 .
12PM EDT NOV 01 2012 LGT RAIN  41  38  89 W7G18     29.70S                     .
 1PM EDT NOV 01 2012 DRIZZLE   42  38  85 W10G20    29.69F                     .
 2PM EDT NOV 01 2012 LGT RAIN  41  37  86 W13G21    29.68F FOG                 .
 3PM EDT NOV 01 2012 LGT RAIN  41  37  86 W12G22    29.68S                     .
 4PM EDT NOV 01 2012 CLOUDY    40  37  89 W9        29.69R                     .
 5PM EDT NOV 01 2012 DRIZZLE   40  37  89 W12       29.70R                     .
 6PM EDT NOV 01 2012 CLOUDY    39  35  86 W16G24    29.72R                     .
 7PM EDT NOV 01 2012 LGT RAIN  39  35  86 W12       29.74R                     .
 8PM EDT NOV 01 2012 CLOUDY    38  34  85 W9G18     29.76R                     .
 9PM EDT NOV 01 2012 CLOUDY    38  34  85 SW5       29.76S                     .
10PM EDT NOV 01 2012 CLOUDY    38  34  85 CALM      29.75F                     .
11PM EDT NOV 01 2012 CLOUDY    38  33  82 SW5       29.75S                     .
12AM EDT NOV 02 2012 CLOUDY    38  32  79 SW6       29.74F                     .
 1AM EDT NOV 02 2012 CLOUDY    38  32  79 SW7       29.73F                     .
 2AM EDT NOV 02 2012 CLOUDY    38  32  79 W6        29.73S                     .
 3AM EDT NOV 02 2012 CLOUDY    38  32  79 W5        29.72F                     .
 4AM EDT NOV 02 2012 CLOUDY    38  32  79 W5        29.72S                     .
 5AM EDT NOV 02 2012 MOCLDY    38  31  76 W9        29.73R                     .
 6AM EDT NOV 02 2012 PTCLDY    36  30  79 W8        29.74R                     .
