TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT JUN 30 2011 PTCLDY    77  53  43 W5        30.03S                   JUL
 9PM EDT JUN 30 2011 FAIR      74  54  49 W5        30.04R                   JUL
10PM EDT JUN 30 2011 PTCLDY    73  55  53 W3        30.03F                   JUL
11PM EDT JUN 30 2011 CLEAR     70  56  61 CALM      30.04R                   JUL
12AM EDT JUL 01 2011 CLEAR     67  56  67 CALM      30.04S                   JUL
 1AM EDT JUL 01 2011 CLEAR     65  56  72 CALM      30.05R                   JUL
 2AM EDT JUL 01 2011 CLEAR     63  55  75 CALM      30.06R                   JUL
 3AM EDT JUL 01 2011 CLEAR     61  55  81 CALM      30.06S                     .
 4AM EDT JUL 01 2011 PTCLDY    61  54  77 CALM      30.06S                     .
 5AM EDT JUL 01 2011 PTCLDY    59  54  83 CALM      30.06S                     .
 6AM EDT JUL 01 2011 PTCLDY    58  53  84 CALM      30.07R                     .
 7AM EDT JUL 01 2011 MOSUNNY   59  54  83 CALM      30.08R                     .
 8AM EDT JUL 01 2011 MOSUNNY   63  54  72 CALM      30.09R                     .
 9AM EDT JUL 01 2011 SUNNY     68  53  58 SE3       30.10R                     .
10AM EDT JUL 01 2011 SUNNY     72  51  47 CALM      30.09F                     .
11AM EDT JUL 01 2011 SUNNY     76  47  35 VRB3      30.08F                     .
12PM EDT JUL 01 2011 MOSUNNY   80  43  26 CALM      30.07F                     .
 1PM EDT JUL 01 2011 MOSUNNY   82  33  17 NW3       30.07S                     .
 2PM EDT JUL 01 2011 MOSUNNY   84  36  18 CALM      30.07S                     .
 3PM EDT JUL 01 2011 MOSUNNY   84  40  21 SW3       30.07S                     .
 4PM EDT JUL 01 2011 MOSUNNY   85  39  19 NW5       30.06F                     .
 5PM EDT JUL 01 2011 NOT AVBL                                                  .
 6PM EDT JUL 01 2011 PTSUNNY   85  42  22 NW6       30.06                      .
 7PM EDT JUL 01 2011 PTSUNNY   85  43  22 VRB3      30.06S                     .
 8PM EDT JUL 01 2011 MOCLDY    83  48  29 CALM      30.06S                     .
 9PM EDT JUL 01 2011 MOCLDY    79  46  31 CALM      30.06S                     .
10PM EDT JUL 01 2011 MOCLDY    77  44  30 E3        30.07R                     .
11PM EDT JUL 01 2011 MOCLDY    71  51  49 CALM      30.08R                     .
12AM EDT JUL 02 2011 PTCLDY    69  52  54 CALM      30.08S                     .
 1AM EDT JUL 02 2011 PTCLDY    68  54  60 CALM      30.08S                     .
 2AM EDT JUL 02 2011 CLEAR     65  53  65 CALM      30.07F                     .
 3AM EDT JUL 02 2011 PTCLDY    63  53  70 CALM      30.08R                     .
 4AM EDT JUL 02 2011 PTCLDY    63  54  72 CALM      30.08S                     .
 5AM EDT JUL 02 2011 PTCLDY    62  55  77 CALM      30.09R                     .
 6AM EDT JUL 02 2011 PTCLDY    61  55  81 CALM      30.08F                     .
 7AM EDT JUL 02 2011 PTSUNNY   63  55  75 CALM      30.09R                     .
 8AM EDT JUL 02 2011 PTSUNNY   66  56  70 CALM      30.10R                     .
 9AM EDT JUL 02 2011 PTSUNNY   72  60  66 CALM      30.09F                     .
10AM EDT JUL 02 2011 PTSUNNY   76  64  66 W5        30.10R                     .
11AM EDT JUL 02 2011 PTSUNNY   79  63  57 W5        30.10S                     .
12PM EDT JUL 02 2011 PTSUNNY   81  64  56 SW5       30.10S                     .
 1PM EDT JUL 02 2011 PTSUNNY   83  64  52 SW9       30.07F                     .
 2PM EDT JUL 02 2011 CLOUDY    82  65  56 W8G18     30.07S                     .
 3PM EDT JUL 02 2011 CLOUDY    82  65  56 W7        30.05F                     .
 4PM EDT JUL 02 2011 CLOUDY    81  65  58 W6        30.05S                     .
 5PM EDT JUL 02 2011 CLOUDY    81  66  60 VRB5      30.04F                     .
 6PM EDT JUL 02 2011 PTSUNNY   81  66  60 SW8       30.03F                     .
 7PM EDT JUL 02 2011 CLOUDY    80  67  64 SW10      30.01F                     .
 8PM EDT JUL 02 2011 CLOUDY    80  67  64 SW8       29.99F                     .
 9PM EDT JUL 02 2011 MOCLDY    78  67  68 SW6       29.99S                     .
10PM EDT JUL 02 2011 CLOUDY    77  68  73 VRB7      30.01R                     .
11PM EDT JUL 02 2011 CLOUDY    76  68  76 SW3       30.01S                     .
12AM EDT JUL 03 2011 CLOUDY    75  68  78 SW3       30.02R                     .
 1AM EDT JUL 03 2011 LGT RAIN  75  69  81 NW15      30.05R                     .
 2AM EDT JUL 03 2011 CLOUDY    71  63  75 N8        30.01F                     .
 3AM EDT JUL 03 2011 CLOUDY    68  63  84 S5        29.97F                     .
 4AM EDT JUL 03 2011 CLOUDY    69  62  78 SW7       29.95F                     .
 5AM EDT JUL 03 2011 MOCLDY    66  62  87 W3        29.97R                     .
 6AM EDT JUL 03 2011 MOCLDY    68  63  84 SW8       29.96F                     .
 7AM EDT JUL 03 2011 PTSUNNY   67  63  87 W3        29.97R                     .
 8AM EDT JUL 03 2011 PTSUNNY   70  64  81 W6        29.98R                     .
 9AM EDT JUL 03 2011 PTSUNNY   73  65  75 CALM      29.99R                     .
10AM EDT JUL 03 2011 PTSUNNY   78  65  63 CALM      30.00R                     .
11AM EDT JUL 03 2011 PTSUNNY   79  66  64 SW6       29.99F                     .
12PM EDT JUL 03 2011 CLOUDY    81  67  62 NW9       29.98F                     .
 1PM EDT JUL 03 2011 PTSUNNY   82  67  60 NW7       29.98S                     .
 2PM EDT JUL 03 2011 PTSUNNY   84  67  56 W5        29.97F HX  86              .
 3PM EDT JUL 03 2011 MOSUNNY   85  65  51 NW12      29.95F HX  86              .
 4PM EDT JUL 03 2011 MOSUNNY   88  64  44 W16       29.92F HX  89              .
 5PM EDT JUL 03 2011 MOSUNNY   88  65  46 NW12      29.92S HX  90              .
 6PM EDT JUL 03 2011 PTSUNNY   85  64  49 NW9       29.92S HX  86              .
 7PM EDT JUL 03 2011 MOSUNNY   81  67  62 NW6       29.90F                     .
 8PM EDT JUL 03 2011 PTCLDY    80  66  62 W3        29.89F                     .
 9PM EDT JUL 03 2011 CLOUDY    78  66  66 CALM      29.92R                     .
10PM EDT JUL 03 2011 CLOUDY    78  61  55 N7        29.94R                     .
11PM EDT JUL 03 2011 MOCLDY    78  59  51 N6        29.96R                     .
12AM EDT JUL 04 2011 MOCLDY    76  59  55 NE3       29.95F                     .
 1AM EDT JUL 04 2011 CLOUDY    75  58  55 SE3       29.94F                     .
 2AM EDT JUL 04 2011 PTCLDY    73  60  63 CALM      29.94S                     .
 3AM EDT JUL 04 2011 MOCLDY    70  59  68 CALM      29.94S                     .
 4AM EDT JUL 04 2011 MOCLDY    68  60  75 CALM      29.95R                     .
 5AM EDT JUL 04 2011 CLOUDY    68  60  75 CALM      29.94F                     .
 6AM EDT JUL 04 2011 CLOUDY    66  61  84 CALM      29.96R                     .
 7AM EDT JUL 04 2011 CLOUDY    66  61  84 CALM      29.95F                     .
 8AM EDT JUL 04 2011 CLOUDY    69  62  78 CALM      29.96R                     .
 9AM EDT JUL 04 2011 CLOUDY    71  65  81 CALM      29.96S HAZE                .
10AM EDT JUL 04 2011 PTSUNNY   75  66  73 CALM      29.96S                     .
11AM EDT JUL 04 2011 CLOUDY    77  67  71 W3        29.97R                     .
12PM EDT JUL 04 2011 CLOUDY    79  66  64 CALM      29.97S                     .
 1PM EDT JUL 04 2011 CLOUDY    82  67  60 VRB3      29.96F                     .
 2PM EDT JUL 04 2011 CLOUDY    80  66  62 W5        29.95F                     .
 3PM EDT JUL 04 2011 CLOUDY    82  65  56 NW7       29.94F                     .
 4PM EDT JUL 04 2011 CLOUDY    84  63  49 NW9       29.93F HX  85              .
 5PM EDT JUL 04 2011 CLOUDY    83  63  50 NW9       29.93S                     .
 6PM EDT JUL 04 2011 CLOUDY    83  63  50 W8        29.91F                     .
 7PM EDT JUL 04 2011 CLOUDY    80  64  58 W6        29.91S                     .
 8PM EDT JUL 04 2011 MOCLDY    76  64  66 E7        29.93R                     .
 9PM EDT JUL 04 2011 PTCLDY    75  62  64 S6        29.93S                     .
10PM EDT JUL 04 2011 PTCLDY    73  64  73 CALM      29.94R                     .
11PM EDT JUL 04 2011 PTCLDY    71  64  78 CALM      29.96R                     .
12AM EDT JUL 05 2011 CLEAR     69  64  84 CALM      29.97R                     .
 1AM EDT JUL 05 2011 CLEAR     68  63  84 CALM      29.98R                     .
 2AM EDT JUL 05 2011 CLEAR     68  63  84 N3        29.98S HAZE                .
 3AM EDT JUL 05 2011 CLEAR     68  62  81 N5        29.98S HAZE                .
 4AM EDT JUL 05 2011 CLEAR     67  60  78 N7        29.99R                     .
 5AM EDT JUL 05 2011 PTCLDY    66  58  75 N5        29.99S                     .
 6AM EDT JUL 05 2011 PTCLDY    63  59  87 CALM      30.00R                     .
 7AM EDT JUL 05 2011 MOSUNNY   64  58  80 CALM      30.01R                     .
 8AM EDT JUL 05 2011 MOSUNNY   68  58  70 CALM      30.02R                     .
 9AM EDT JUL 05 2011 MOSUNNY   72  56  57 CALM      30.03R                     .
10AM EDT JUL 05 2011 MOSUNNY   76  49  38 N7        30.04R                     .
11AM EDT JUL 05 2011 MOSUNNY   77  49  37 CALM      30.03F                     .
12PM EDT JUL 05 2011 MOSUNNY   80  50  34 NW8       30.03S                     .
 1PM EDT JUL 05 2011 MOSUNNY   81  48  31 VRB3      30.04R                     .
 2PM EDT JUL 05 2011 MOSUNNY   83  45  26 W10       30.03F                     .
 3PM EDT JUL 05 2011 MOSUNNY   84  44  24 VRB3      30.01F                     .
 4PM EDT JUL 05 2011 MOSUNNY   86  42  21 CALM      30.01S                     .
 5PM EDT JUL 05 2011 MOSUNNY   85  45  24 W7        29.99F                     .
 6PM EDT JUL 05 2011 MOSUNNY   86  46  24 CALM      29.98F                     .
 7PM EDT JUL 05 2011 SUNNY     85  46  25 NW6       29.98S                     .
 8PM EDT JUL 05 2011 CLEAR     82  49  31 W8        29.98S                     .
 9PM EDT JUL 05 2011 CLEAR     78  50  37 CALM      29.98S                     .
10PM EDT JUL 05 2011 NOT AVBL                                                  .
11PM EDT JUL 05 2011 CLEAR     70  55  59 CALM      30.01                      .
12AM EDT JUL 06 2011 CLEAR     72  52  49 CALM      30.02R                     .
 1AM EDT JUL 06 2011 CLEAR     69  53  56 CALM      30.01F                     .
 2AM EDT JUL 06 2011 CLEAR     65  55  70 CALM      30.01S                     .
 3AM EDT JUL 06 2011 CLEAR     64  55  72 CALM      30.00F                     .
 4AM EDT JUL 06 2011 CLEAR     62  55  77 CALM      30.00S                     .
 5AM EDT JUL 06 2011 CLEAR     63  54  72 CALM      29.99F                     .
 6AM EDT JUL 06 2011 PTCLDY    59  55  87 CALM      30.00R                     .
 7AM EDT JUL 06 2011 PTCLDY    62  55  77 CALM      30.01R                     .
 8AM EDT JUL 06 2011 MOSUNNY   68  56  65 CALM      30.01S                     .
 9AM EDT JUL 06 2011 MOSUNNY   73  56  54 CALM      30.01S                     .
10AM EDT JUL 06 2011 MOSUNNY   78  55  44 SW5       30.01S                     .
11AM EDT JUL 06 2011 MOSUNNY   81  55  40 SW6       30.00F                     .
12PM EDT JUL 06 2011 MOSUNNY   84  55  36 VRB5      30.01R                     .
 1PM EDT JUL 06 2011 NOT AVBL                                                  .
 2PM EDT JUL 06 2011 NOT AVBL                                                  .
 3PM EDT JUL 06 2011 FAIR      87  59  38 SW8       29.98  HX  86              .
 4PM EDT JUL 06 2011 PTSUNNY   88  57  34 SW7       29.96F HX  87              .
 5PM EDT JUL 06 2011 MOSUNNY   88  57  34 SW9       29.95F HX  87              .
 6PM EDT JUL 06 2011 PTSUNNY   86  58  38 W8        29.93F HX  85              .
 7PM EDT JUL 06 2011 MOSUNNY   84  62  47 NE7       29.93S HX  85              .
 8PM EDT JUL 06 2011 PTCLDY    82  63  52 E3        29.93S                     .
 9PM EDT JUL 06 2011 PTCLDY    80  63  55 CALM      29.94R                     .
10PM EDT JUL 06 2011 PTCLDY    78  63  59 CALM      29.96R                     .
11PM EDT JUL 06 2011 PTCLDY    77  64  64 CALM      29.97R                     .
12AM EDT JUL 07 2011 LGT RAIN  73  64  73 W5        29.97S                     .
 1AM EDT JUL 07 2011 CLOUDY    72  66  81 S3        29.96F                     .
 2AM EDT JUL 07 2011 CLOUDY    72  66  81 CALM      29.96S                     .
 3AM EDT JUL 07 2011 MOCLDY    71  67  87 N3        29.96S                     .
 4AM EDT JUL 07 2011 MOCLDY    70  65  84 CALM      29.96S                     .
 5AM EDT JUL 07 2011 PTCLDY    69  66  90 S5        29.96S                     .
 6AM EDT JUL 07 2011 NOT AVBL                                                  .
