TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT SEP 30 2013 CLOUDY    65  56  72 SW3       30.03R                   OCT
 9PM EDT SEP 30 2013 CLOUDY    64  56  75 CALM      30.03S                   OCT
10PM EDT SEP 30 2013 CLOUDY    64  56  75 SW5       30.03S                   OCT
11PM EDT SEP 30 2013 CLOUDY    63  57  81 S3        30.03S                   OCT
12AM EDT OCT 01 2013 MOCLDY    62  57  83 CALM      30.04R                   OCT
 1AM EDT OCT 01 2013 CLOUDY    62  56  80 CALM      30.03F                   OCT
 2AM EDT OCT 01 2013 CLOUDY    62  56  80 CALM      30.03S                   OCT
 3AM EDT OCT 01 2013 CLOUDY    62  56  80 CALM      30.04R                     .
 4AM EDT OCT 01 2013 PTCLDY    60  56  86 CALM      30.04S                     .
 5AM EDT OCT 01 2013 PTCLDY    59  55  87 CALM      30.04S                     .
 6AM EDT OCT 01 2013 MOCLDY    57  55  93 CALM      30.06R                     .
 7AM EDT OCT 01 2013 MOCLDY    58  56  93 CALM      30.08R                     .
 8AM EDT OCT 01 2013 PTCLDY    58  55  90 CALM      30.08S                     .
 9AM EDT OCT 01 2013 MOSUNNY   60  57  89 CALM      30.09R                     .
10AM EDT OCT 01 2013 PTSUNNY   65  58  78 W6        30.09S                     .
11AM EDT OCT 01 2013 MOSUNNY   68  59  73 W10       30.09S                     .
12PM EDT OCT 01 2013 PTSUNNY   70  59  68 NW10      30.09S                     .
 1PM EDT OCT 01 2013 MOSUNNY   72  59  63 W9        30.08F                     .
 2PM EDT OCT 01 2013 PTSUNNY   73  56  54 W12       30.06F                     .
 3PM EDT OCT 01 2013 MOSUNNY   74  58  57 W12       30.05F                     .
 4PM EDT OCT 01 2013 MOSUNNY   75  56  51 W9        30.03F                     .
 5PM EDT OCT 01 2013 MOSUNNY   76  55  48 W10       30.02F                     .
 6PM EDT OCT 01 2013 MOSUNNY   75  56  51 W9        30.02S                     .
 7PM EDT OCT 01 2013 PTCLDY    72  57  59 SW3       30.03R                     .
 8PM EDT OCT 01 2013 CLEAR     69  56  62 SW5       30.03S                     .
 9PM EDT OCT 01 2013 CLEAR     68  56  65 SW6       30.03S                     .
10PM EDT OCT 01 2013 CLEAR     66  56  70 CALM      30.04R                     .
11PM EDT OCT 01 2013 CLEAR     64  56  75 S5        30.05R                     .
12AM EDT OCT 02 2013 CLEAR     64  56  75 SW3       30.05S                     .
 1AM EDT OCT 02 2013 CLEAR     63  56  78 SW3       30.05S                     .
 2AM EDT OCT 02 2013 CLEAR     63  56  78 SW3       30.06R                     .
 3AM EDT OCT 02 2013 CLEAR     59  56  89 CALM      30.06S                     .
 4AM EDT OCT 02 2013 CLEAR     59  55  87 CALM      30.06S                     .
 5AM EDT OCT 02 2013 CLEAR     58  55  90 CALM      30.06S                     .
 6AM EDT OCT 02 2013 PTCLDY    60  56  86 SW3       30.07R                     .
 7AM EDT OCT 02 2013 PTCLDY    60  57  89 SW3       30.08R                     .
 8AM EDT OCT 02 2013 PTCLDY    61  57  87 SW5       30.09R                     .
 9AM EDT OCT 02 2013 MOSUNNY   63  58  83 SW5       30.10R                     .
10AM EDT OCT 02 2013 MOSUNNY   67  60  78 SW6       30.11R                     .
11AM EDT OCT 02 2013 MOSUNNY   71  61  70 W8        30.12R                     .
12PM EDT OCT 02 2013 MOSUNNY   74  63  68 W7        30.11F                     .
 1PM EDT OCT 02 2013 PTSUNNY   76  61  59 SW8       30.11S                     .
 2PM EDT OCT 02 2013 PTSUNNY   76  61  59 W7        30.09F                     .
 3PM EDT OCT 02 2013 MOSUNNY   77  61  57 W6        30.07F                     .
 4PM EDT OCT 02 2013 MOSUNNY   80  60  50 W13G20    30.06F                     .
 5PM EDT OCT 02 2013 MOSUNNY   80  59  48 W10       30.06S                     .
 6PM EDT OCT 02 2013 MOSUNNY   78  59  51 W6        30.06S                     .
 7PM EDT OCT 02 2013 PTCLDY    75  60  59 W3        30.07R                     .
 8PM EDT OCT 02 2013 PTCLDY    73  60  63 W3        30.07S                     .
 9PM EDT OCT 02 2013 PTCLDY    69  60  73 CALM      30.08R                     .
10PM EDT OCT 02 2013 PTCLDY    68  60  75 N7        30.09R                     .
11PM EDT OCT 02 2013 MOCLDY    66  60  81 CALM      30.09S                     .
12AM EDT OCT 03 2013 MOCLDY    64  59  83 CALM      30.10R                     .
 1AM EDT OCT 03 2013 PTCLDY    63  59  87 CALM      30.10S                     .
