TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT SEP 30 2011 DRIZZLE   48  44  86 NW18      29.79R                   OCT
 9PM EDT SEP 30 2011 LGT RAIN  48  43  82 NW15      29.82R                   OCT
10PM EDT SEP 30 2011 CLOUDY    47  41  80 NW14      29.83R                   OCT
11PM EDT SEP 30 2011 CLOUDY    46  41  82 NW14      29.82F                   OCT
12AM EDT OCT 01 2011 CLOUDY    46  40  79 NW12      29.82S                   OCT
 1AM EDT OCT 01 2011 CLOUDY    46  40  79 W9        29.81F                   OCT
 2AM EDT OCT 01 2011 CLOUDY    45  39  79 W6        29.82R                   OCT
 3AM EDT OCT 01 2011 CLOUDY    45  38  76 W7        29.82S                     .
 4AM EDT OCT 01 2011 CLOUDY    44  39  82 W8        29.82S                     .
 5AM EDT OCT 01 2011 CLOUDY    44  39  82 SW6       29.82S                     .
 6AM EDT OCT 01 2011 CLOUDY    44  40  85 W7        29.83R                     .
 7AM EDT OCT 01 2011 CLOUDY    44  39  82 W9        29.85R                     .
 8AM EDT OCT 01 2011 CLOUDY    43  39  86 W7        29.86R                     .
 9AM EDT OCT 01 2011 CLOUDY    44  40  85 W3        29.87R                     .
10AM EDT OCT 01 2011 LGT RAIN  43  40  89 W6        29.89R VSB 1               .
11AM EDT OCT 01 2011 LGT RAIN  44  41  89 W7        29.90R FOG                 .
12PM EDT OCT 01 2011 LGT RAIN  44  41  89 W7        29.91R FOG                 .
 1PM EDT OCT 01 2011 LGT RAIN  45  43  93 W3        29.91S FOG                 .
 2PM EDT OCT 01 2011 LGT RAIN  47  45  93 W7        29.90F FOG                 .
 3PM EDT OCT 01 2011 LGT RAIN  50  46  86 N16       29.90S FOG                 .
 4PM EDT OCT 01 2011 LGT RAIN  49  45  86 N15       29.91R                     .
 5PM EDT OCT 01 2011 CLOUDY    49  44  83 N17G25    29.93R                     .
 6PM EDT OCT 01 2011 CLOUDY    47  43  86 N17       29.94R                     .
