TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT AUG 31 2013 PTCLDY    80  69  69 SW8       29.82R                   SEP
 9PM EDT AUG 31 2013 FAIR      79  69  71 SW5       29.85R                   SEP
10PM EDT AUG 31 2013 MOCLDY    78  69  73 SW7       29.85S                   SEP
11PM EDT AUG 31 2013 MOCLDY    77  69  76 SW8       29.86R                   SEP
12AM EDT SEP 01 2013 CLOUDY    76  69  79 CALM      29.86S                   SEP
 1AM EDT SEP 01 2013 MOCLDY    75  69  81 SW6       29.86S                   SEP
 2AM EDT SEP 01 2013 MOCLDY    73  69  87 SW5       29.84F                   SEP
 3AM EDT SEP 01 2013 MOCLDY    72  69  90 SW5       29.82F                     .
 4AM EDT SEP 01 2013 MOCLDY    71  68  90 W5        29.83R                     .
 5AM EDT SEP 01 2013 MOCLDY    72  68  87 S5        29.82F                     .
 6AM EDT SEP 01 2013 CLOUDY    71  68  90 CALM      29.84R                     .
 7AM EDT SEP 01 2013 CLOUDY    71  68  90 CALM      29.85R                     .
 8AM EDT SEP 01 2013 CLOUDY    71  68  90 CALM      29.86R                     .
 9AM EDT SEP 01 2013 CLOUDY    71  69  93 S6        29.86S                     .
10AM EDT SEP 01 2013 CLOUDY    72  69  90 S5        29.86S FOG                 .
11AM EDT SEP 01 2013 CLOUDY    72  69  90 SW6       29.86S FOG                 .
12PM EDT SEP 01 2013 CLOUDY    73  69  87 S5        29.87R FOG                 .
 1PM EDT SEP 01 2013 CLOUDY    74  69  85 S7        29.86F                     .
 2PM EDT SEP 01 2013 CLOUDY    75  69  81 S6        29.86S                     .
 3PM EDT SEP 01 2013 CLOUDY    74  69  85 S7        29.85F                     .
 4PM EDT SEP 01 2013 CLOUDY    75  68  78 S6        29.83F                     .
 5PM EDT SEP 01 2013 CLOUDY    76  69  79 S6        29.82F                     .
 6PM EDT SEP 01 2013 PTSUNNY   79  68  69 S6        29.81F                     .
 7PM EDT SEP 01 2013 PTCLDY    79  68  69 S5        29.80F                     .
 8PM EDT SEP 01 2013 PTCLDY    77  68  73 CALM      29.80S                     .
 9PM EDT SEP 01 2013 PTCLDY    74  68  81 S3        29.82R                     .
10PM EDT SEP 01 2013 PTCLDY    74  68  81 SW5       29.84R                     .
11PM EDT SEP 01 2013 PTCLDY    74  66  76 SW5       29.84S                     .
12AM EDT SEP 02 2013 MOCLDY    70  66  87 S3        29.83F                     .
 1AM EDT SEP 02 2013 MOCLDY    71  66  84 SW3       29.83S                     .
 2AM EDT SEP 02 2013 FAIR      71  66  84 SW5       29.81F                     .
 3AM EDT SEP 02 2013 MOCLDY    69  66  90 CALM      29.81S                     .
 4AM EDT SEP 02 2013 MOCLDY    69  66  90 CALM      29.81S                     .
 5AM EDT SEP 02 2013 MOCLDY    71  67  87 SW6       29.81S                     .
 6AM EDT SEP 02 2013 MOCLDY    70  67  90 CALM      29.80F                     .
 7AM EDT SEP 02 2013 MOCLDY    70  67  90 CALM      29.82R                     .
 8AM EDT SEP 02 2013 MOSUNNY   70  67  90 SW5       29.83R                     .
 9AM EDT SEP 02 2013 PTSUNNY   71  68  90 W7        29.83S FOG                 .
10AM EDT SEP 02 2013 PTSUNNY   73  68  84 SW7       29.84R                     .
11AM EDT SEP 02 2013 PTSUNNY   75  68  78 SW7       29.84S                     .
12PM EDT SEP 02 2013 PTSUNNY   79  67  66 SW10      29.84S                     .
 1PM EDT SEP 02 2013 PTSUNNY   80  67  64 SW8       29.82F                     .
 2PM EDT SEP 02 2013 MOSUNNY   82  68  62 SW7       29.81F HX  85              .
 3PM EDT SEP 02 2013 MOSUNNY   85  65  51 SW13G18   29.79F HX  86              .
 4PM EDT SEP 02 2013 MOSUNNY   85  64  49 W10G17    29.77F HX  86              .
 5PM EDT SEP 02 2013 PTSUNNY   84  64  50 W8        29.77S HX  85              .
 6PM EDT SEP 02 2013 CLOUDY    80  65  59 W6        29.77S                     .
 7PM EDT SEP 02 2013 CLOUDY    75  65  70 NW10      29.78R                     .
 8PM EDT SEP 02 2013 CLOUDY    73  66  78 W9        29.80R                     .
 9PM EDT SEP 02 2013 MOCLDY    74  65  73 N13       29.82R                     .
10PM EDT SEP 02 2013 MOCLDY    71  61  70 NW9       29.85R                     .
11PM EDT SEP 02 2013 PTCLDY    69  60  73 NW6       29.86R                     .
12AM EDT SEP 03 2013 PTCLDY    67  60  78 CALM      29.87R                     .
 1AM EDT SEP 03 2013 PTCLDY    64  60  87 W5        29.87S                     .
 2AM EDT SEP 03 2013 PTCLDY    62  59  90 W5        29.86F                     .
