TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
11AM EDT MAY 03 2013 CLOUDY    66  34  30 SE15G24   30.25S                     .
12PM EDT MAY 03 2013 PTSUNNY   68  34  28 E13G22    30.24F                     .
 1PM EDT MAY 03 2013 PTSUNNY   71  30  21 SE20G28   30.22F                     .
 2PM EDT MAY 03 2013 PTSUNNY   73  32  22 E15G24    30.20F                     .
 3PM EDT MAY 03 2013 MOSUNNY   74  36  25 SE17G26   30.19F                     .
 4PM EDT MAY 03 2013 MOSUNNY   75  39  27 SE18G28   30.16F                     .
 5PM EDT MAY 03 2013 MOSUNNY   74  39  28 SE18G25   30.16S                     .
 6PM EDT MAY 03 2013 MOSUNNY   73  39  29 SE15      30.15F                     .
 7PM EDT MAY 03 2013 MOSUNNY   71  40  32 E18G26    30.15S                     .
 8PM EDT MAY 03 2013 MOCLDY    69  40  34 SE16G24   30.16R                     .
 9PM EDT MAY 03 2013 MOCLDY    66  40  38 SE14      30.18R                     .
10PM EDT MAY 03 2013 MOCLDY    64  40  41 SE16G24   30.19R                     .
11PM EDT MAY 03 2013 MOCLDY    62  40  44 SE14      30.19S                     .
12AM EDT MAY 04 2013 MOCLDY    61  40  45 SE12      30.19S                     .
 1AM EDT MAY 04 2013 MOCLDY    59  39  47 SE10      30.20R                     .
 2AM EDT MAY 04 2013 MOCLDY    57  39  51 SE12      30.19F                     .
 3AM EDT MAY 04 2013 MOCLDY    55  39  54 SE12      30.18F                     .
 4AM EDT MAY 04 2013 MOCLDY    54  34  46 SE10      30.18S                     .
 5AM EDT MAY 04 2013 MOCLDY    51  34  52 SE10      30.18S                     .
 6AM EDT MAY 04 2013 MOCLDY    49  35  58 E8        30.18S                     .
 7AM EDT MAY 04 2013 MOCLDY    49  34  56 E9        30.20R                     .
 8AM EDT MAY 04 2013 PTSUNNY   51  35  54 E9        30.19F                     .
 9AM EDT MAY 04 2013 PTSUNNY   52  35  52 E9        30.20R                     .
10AM EDT MAY 04 2013 PTSUNNY   57  35  43 SE14G21   30.20S                     .
11AM EDT MAY 04 2013 PTSUNNY   60  36  40 E10       30.19F                     .
12PM EDT MAY 04 2013 PTSUNNY   62  34  35 SE15G21   30.19S                     .
 1PM EDT MAY 04 2013 PTSUNNY   66  36  32 E9G17     30.17F                     .
 2PM EDT MAY 04 2013 PTSUNNY   68  33  27 E16G23    30.15F                     .
 3PM EDT MAY 04 2013 PTSUNNY   69  35  28 E15G23    30.13F                     .
 4PM EDT MAY 04 2013 PTSUNNY   71  38  29 E14       30.10F                     .
 5PM EDT MAY 04 2013 PTSUNNY   69  39  33 E10G21    30.09F                     .
 6PM EDT MAY 04 2013 PTSUNNY   69  40  34 E12       30.09S                     .
 7PM EDT MAY 04 2013 PTSUNNY   69  37  30 SE15G21   30.09S                     .
 8PM EDT MAY 04 2013 CLOUDY    67  37  33 SE10G18   30.09S                     .
 9PM EDT MAY 04 2013 CLOUDY    65  37  35 SE7       30.12R                     .
10PM EDT MAY 04 2013 CLOUDY    63  39  41 SE8       30.13R                     .
11PM EDT MAY 04 2013 MOCLDY    61  38  42 SE9       30.14R                     .
12AM EDT MAY 05 2013 MOCLDY    60  39  45 SE10      30.14S                     .
 1AM EDT MAY 05 2013 MOCLDY    58  39  49 E9        30.14S                     .
 2AM EDT MAY 05 2013 CLOUDY    56  38  50 E9        30.13F                     .
 3AM EDT MAY 05 2013 CLOUDY    56  38  50 E9        30.12F                     .
 4AM EDT MAY 05 2013 PTCLDY    54  38  54 SE6       30.12S                     .
 5AM EDT MAY 05 2013 PTCLDY    50  39  66 E8        30.12S                     .
 6AM EDT MAY 05 2013 PTCLDY    49  39  68 E9        30.12S                     .
 7AM EDT MAY 05 2013 PTCLDY    51  39  63 E12       30.12S                     .
 8AM EDT MAY 05 2013 PTSUNNY   52  39  61 E10       30.12S                     .
 9AM EDT MAY 05 2013 PTSUNNY   55  38  52 SE12      30.13R                     .
10AM EDT MAY 05 2013 PTSUNNY   57  36  45 E16       30.12F                     .
11AM EDT MAY 05 2013 PTSUNNY   61  35  37 E16       30.12S                     .
12PM EDT MAY 05 2013 PTSUNNY   65  32  29 E14G25    30.11F                     .
 1PM EDT MAY 05 2013 MOSUNNY   69  27  20 E17G24    30.09F                     .
 2PM EDT MAY 05 2013 MOSUNNY   70  25  18 E18G26    30.07F                     .
 3PM EDT MAY 05 2013 MOSUNNY   71  24  17 SE21      30.06F                     .
 4PM EDT MAY 05 2013 MOSUNNY   74  24  15 SE17G23   30.03F                     .
 5PM EDT MAY 05 2013 PTSUNNY   73  21  14 SE20      30.03S                     .
 6PM EDT MAY 05 2013 PTSUNNY   73  20  13 E15G24    30.02F                     .
 7PM EDT MAY 05 2013 PTSUNNY   71  20  14 E10       30.02S                     .
 8PM EDT MAY 05 2013 MOCLDY    68  20  16 E13       30.03R                     .
 9PM EDT MAY 05 2013 MOCLDY    65  21  18 E14       30.04R                     .
10PM EDT MAY 05 2013 MOCLDY    63  24  22 SE12      30.06R                     .
11PM EDT MAY 05 2013 MOCLDY    60  28  29 SE9       30.07R                     .
12AM EDT MAY 06 2013 MOCLDY    58  32  37 SE14      30.07S                     .
 1AM EDT MAY 06 2013 PTCLDY    55  34  45 SE10      30.08R                     .
 2AM EDT MAY 06 2013 PTCLDY    54  35  48 SE9       30.07F                     .
 3AM EDT MAY 06 2013 PTCLDY    53  35  50 E13       30.06F                     .
 4AM EDT MAY 06 2013 PTCLDY    51  35  54 E7        30.05F                     .
 5AM EDT MAY 06 2013 PTCLDY    49  35  58 E6        30.05S                     .
 6AM EDT MAY 06 2013 PTCLDY    48  36  63 E5        30.07R                     .
 7AM EDT MAY 06 2013 MOCLDY    48  37  65 E7        30.07S                     .
 8AM EDT MAY 06 2013 PTSUNNY   51  38  60 E9        30.08R                     .
 9AM EDT MAY 06 2013 PTSUNNY   54  38  54 E10       30.08S                     .
10AM EDT MAY 06 2013 PTSUNNY   59  40  49 SE13G18   30.08S                     .
11AM EDT MAY 06 2013 PTSUNNY   63  43  48 SE10G18   30.07F                     .
12PM EDT MAY 06 2013 PTSUNNY   65  46  50 E15G21    30.07S                     .
 1PM EDT MAY 06 2013 CLOUDY    66  47  50 SE15G26   30.05F                     .
 2PM EDT MAY 06 2013 PTSUNNY   69  48  47 SE15      30.04F                     .
 3PM EDT MAY 06 2013 PTSUNNY   70  48  45 SE15G26   30.02F                     .
 4PM EDT MAY 06 2013 CLOUDY    69  48  47 E12       30.01F                     .
 5PM EDT MAY 06 2013 CLOUDY    68  48  48 E15G22    30.00F                     .
 6PM EDT MAY 06 2013 CLOUDY    68  48  48 SE17      30.00S                     .
 7PM EDT MAY 06 2013 CLOUDY    68  49  50 E16G23    30.01R                     .
 8PM EDT MAY 06 2013 CLOUDY    65  49  56 SE12      30.02R                     .
 9PM EDT MAY 06 2013 CLOUDY    64  49  57 SE12      30.03R                     .
10PM EDT MAY 06 2013 CLOUDY    61  51  70 E9        30.05R                     .
11PM EDT MAY 06 2013 CLOUDY    60  52  74 E8        30.05S                     .
12AM EDT MAY 07 2013 CLOUDY    61  51  70 E8        30.03F                     .
 1AM EDT MAY 07 2013 CLOUDY    60  51  72 E7        30.03S                     .
 2AM EDT MAY 07 2013 CLOUDY    59  51  75 NE8       30.01F                     .
 3AM EDT MAY 07 2013 CLOUDY    58  51  78 E8        29.99F                     .
 4AM EDT MAY 07 2013 CLOUDY    58  51  78 E8        29.99S                     .
 5AM EDT MAY 07 2013 LGT RAIN  58  51  78 E8        29.99S                     .
 6AM EDT MAY 07 2013 CLOUDY    57  52  83 E8        29.99S                     .
 7AM EDT MAY 07 2013 CLOUDY    57  52  83 E8        29.99S                     .
 8AM EDT MAY 07 2013 CLOUDY    58  52  80 E7        30.00R                     .
 9AM EDT MAY 07 2013 PTSUNNY   60  52  74 E10       30.01R                     .
10AM EDT MAY 07 2013 CLOUDY    61  52  72 E12       30.01S                     .
11AM EDT MAY 07 2013 CLOUDY    62  53  72 E12       30.03R                     .
12PM EDT MAY 07 2013 CLOUDY    63  54  72 NE7       30.03S                     .
 1PM EDT MAY 07 2013 CLOUDY    65  53  65 E6        30.03S                     .
 2PM EDT MAY 07 2013 CLOUDY    67  51  56 E13       30.01F                     .
 3PM EDT MAY 07 2013 CLOUDY    69  51  52 E12       29.99F                     .
 4PM EDT MAY 07 2013 CLOUDY    66  53  63 SE12G23   29.98F                     .
 5PM EDT MAY 07 2013 LGT RAIN  64  56  75 SE8       29.99R                     .
 6PM EDT MAY 07 2013 LGT RAIN  63  57  81 E8        29.98F                     .
 7PM EDT MAY 07 2013 CLOUDY    63  55  75 E8        29.97F                     .
 8PM EDT MAY 07 2013 CLOUDY    62  54  74 NE3       29.97S                     .
 9PM EDT MAY 07 2013 CLOUDY    62  54  74 NE8       29.97S                     .
10PM EDT MAY 07 2013 CLOUDY    62  52  69 E7        29.98R                     .
11PM EDT MAY 07 2013 LGT RAIN  61  53  75 E8        29.99R                     .
12AM EDT MAY 08 2013 LGT RAIN  60  54  80 NE3       29.97F                     .
 1AM EDT MAY 08 2013 CLOUDY    59  54  83 NE5       29.96F                     .
 2AM EDT MAY 08 2013 LGT RAIN  59  54  83 NE6       29.94F                     .
 3AM EDT MAY 08 2013 LGT RAIN  58  55  90 NE8       29.92F                     .
 4AM EDT MAY 08 2013 CLOUDY    58  54  86 E16G25    29.92S                     .
 5AM EDT MAY 08 2013 LGT RAIN  56  53  90 NE7       29.92S                     .
 6AM EDT MAY 08 2013 CLOUDY    55  52  89 NE8       29.93R                     .
 7AM EDT MAY 08 2013 MOCLDY    54  51  90 E8        29.95R                     .
 8AM EDT MAY 08 2013 MOSUNNY   57  52  83 E9        29.98R                     .
 9AM EDT MAY 08 2013 MOSUNNY   59  50  72 SE8       29.99R                     .
10AM EDT MAY 08 2013 MOSUNNY   61  49  64 SE8       30.00R                     .
11AM EDT MAY 08 2013 MOSUNNY   63  49  60 E6        29.99F                     .
12PM EDT MAY 08 2013 MOSUNNY   66  48  52 SE5       29.98F                     .
 1PM EDT MAY 08 2013 MOSUNNY   66  46  48 E5        29.97F                     .
 2PM EDT MAY 08 2013 PTSUNNY   69  44  40 E6        29.96F                     .
 3PM EDT MAY 08 2013 PTSUNNY   70  44  39 VRB3      29.94F                     .
 4PM EDT MAY 08 2013 PTSUNNY   69  43  38 CALM      29.92F                     .
 5PM EDT MAY 08 2013 PTSUNNY   71  41  33 N6        29.91F                     .
 6PM EDT MAY 08 2013 PTSUNNY   71  41  33 NW5       29.91S                     .
 7PM EDT MAY 08 2013 PTSUNNY   70  42  36 NW10      29.91S                     .
 8PM EDT MAY 08 2013 MOCLDY    68  47  46 N13       29.92R                     .
 9PM EDT MAY 08 2013 MOCLDY    65  50  58 N9        29.93R                     .
10PM EDT MAY 08 2013 MOCLDY    64  50  60 N6        29.95R                     .
11PM EDT MAY 08 2013 DRIZZLE   63  51  65 N3        29.95S                     .
12AM EDT MAY 09 2013 LGT RAIN  61  52  72 NW6       29.95S                     .
 1AM EDT MAY 09 2013 CLOUDY    60  52  74 NW9       29.94F                     .
 2AM EDT MAY 09 2013 MOCLDY    58  52  80 NW6       29.93F                     .
 3AM EDT MAY 09 2013 MOCLDY    58  52  80 W6        29.92F                     .
 4AM EDT MAY 09 2013 MOCLDY    56  52  86 W3        29.92S                     .
 5AM EDT MAY 09 2013 MOCLDY    55  52  89 W6        29.92S                     .
 6AM EDT MAY 09 2013 MOCLDY    55  52  89 W5        29.92S                     .
 7AM EDT MAY 09 2013 MOCLDY    56  52  86 W3        29.94R                     .
 8AM EDT MAY 09 2013 CLOUDY    58  53  84 W8        29.98R                     .
 9AM EDT MAY 09 2013 CLOUDY    59  54  83 W7        29.99R                     .
10AM EDT MAY 09 2013 NOT AVBL                                                  .
11AM EDT MAY 09 2013 PTSUNNY   64  54  69 NW7       30.00                      .
12PM EDT MAY 09 2013 MOSUNNY   69  53  56 NW9       29.99F                     .
 1PM EDT MAY 09 2013 PTSUNNY   72  51  47 NW8G21    29.99S                     .
 2PM EDT MAY 09 2013 PTSUNNY   73  49  42 NW7G18    29.98F                     .
 3PM EDT MAY 09 2013 PTSUNNY   73  49  42 N13       29.98S                     .
 4PM EDT MAY 09 2013 PTSUNNY   76  48  37 NW7       29.96F                     .
 5PM EDT MAY 09 2013 PTSUNNY   78  43  28 W17G23    29.95F                     .
 6PM EDT MAY 09 2013 PTSUNNY   76  44  32 NW15      29.95S                     .
 7PM EDT MAY 09 2013 PTSUNNY   76  44  32 NW8       29.96R                     .
 8PM EDT MAY 09 2013 MOCLDY    73  40  30 NW7       29.97R                     .
 9PM EDT MAY 09 2013 MOCLDY    69  42  37 CALM      29.98R                     .
10PM EDT MAY 09 2013 CLOUDY    67  46  47 CALM      30.00R                     .
11PM EDT MAY 09 2013 CLOUDY    63  48  58 CALM      30.00S                     .
12AM EDT MAY 10 2013 CLOUDY    62  49  62 CALM      30.00S                     .
 1AM EDT MAY 10 2013 MOCLDY    60  50  69 CALM      30.00S                     .
 2AM EDT MAY 10 2013 MOCLDY    60  53  77 CALM      30.00S                     .
 3AM EDT MAY 10 2013 MOCLDY    59  53  80 CALM      29.98F                     .
 4AM EDT MAY 10 2013 CLOUDY    58  52  80 S3        29.97F                     .
 5AM EDT MAY 10 2013 CLOUDY    59  52  77 CALM      29.96F                     .
 6AM EDT MAY 10 2013 CLOUDY    59  52  77 CALM      29.95F                     .
 7AM EDT MAY 10 2013 CLOUDY    60  53  77 SW5       29.97R                     .
 8AM EDT MAY 10 2013 LGT RAIN  60  56  86 SW3       29.98R FOG                 .
 9AM EDT MAY 10 2013 LGT RAIN  60  57  89 S5        29.97F                     .
10AM EDT MAY 10 2013 CLOUDY    61  57  87 S7        29.95F                     .
11AM EDT MAY 10 2013 CLOUDY    66  59  78 S9        29.94F                     .
12PM EDT MAY 10 2013 CLOUDY    70  58  65 S13       29.93F                     .
 1PM EDT MAY 10 2013 CLOUDY    72  59  63 S9        29.92F                     .
 2PM EDT MAY 10 2013 CLOUDY    73  58  59 SW12G20   29.91F                     .
 3PM EDT MAY 10 2013 CLOUDY    75  57  53 S12G17    29.88F                     .
 4PM EDT MAY 10 2013 CLOUDY    75  56  51 S9G17     29.86F THUNDER             .
 5PM EDT MAY 10 2013 CLOUDY    65  57  75 CALM      29.86S                     .
 6PM EDT MAY 10 2013 TSTM      62  59  90 SW9G20    29.89R FOG                 .
 7PM EDT MAY 10 2013 CLOUDY    62  59  90 S7        29.86F                     .
 8PM EDT MAY 10 2013 LGT RAIN  62  58  86 S9        29.85F                     .
 9PM EDT MAY 10 2013 LGT RAIN  61  58  90 S7        29.83F FOG                 .
10PM EDT MAY 10 2013 LGT RAIN  61  58  90 S6        29.83S                     .
11PM EDT MAY 10 2013 LGT RAIN  61  58  90 SW8       29.82F                     .
12AM EDT MAY 11 2013 LGT RAIN  61  58  90 SW7       29.81F                     .
 1AM EDT MAY 11 2013 LGT RAIN  61  59  93 SW6       29.80F                     .
 2AM EDT MAY 11 2013 LGT RAIN  62  59  90 SW8       29.79F                     .
 3AM EDT MAY 11 2013 LGT RAIN  61  59  93 SW7       29.79S                     .
 4AM EDT MAY 11 2013 CLOUDY    61  58  90 SW7       29.78F                     .
 5AM EDT MAY 11 2013 CLOUDY    61  58  90 SW7       29.78S                     .
 6AM EDT MAY 11 2013 LGT RAIN  60  57  89 NW14      29.78S                     .
 7AM EDT MAY 11 2013 CLOUDY    57  53  86 NW8       29.80R FOG                 .
 8AM EDT MAY 11 2013 LGT RAIN  55  52  89 NW12      29.80S FOG                 .
 9AM EDT MAY 11 2013 DRIZZLE   54  51  90 NW8       29.82R FOG                 .
10AM EDT MAY 11 2013 CLOUDY    53  50  89 N9        29.82S FOG                 .
11AM EDT MAY 11 2013 DRIZZLE   53  49  86 NW12      29.82S FOG                 .
12PM EDT MAY 11 2013 DRIZZLE   53  49  86 NW9       29.83R FOG                 .
 1PM EDT MAY 11 2013 CLOUDY    54  48  80 NW12      29.83S HAZE                .
 2PM EDT MAY 11 2013 CLOUDY    56  48  74 W10       29.83S                     .
 3PM EDT MAY 11 2013 CLOUDY    56  48  74 W9        29.83S                     .
 4PM EDT MAY 11 2013 CLOUDY    57  48  72 W7        29.82F                     .
 5PM EDT MAY 11 2013 CLOUDY    57  48  72 W9        29.81F                     .
 6PM EDT MAY 11 2013 CLOUDY    57  48  72 W12       29.81S                     .
 7PM EDT MAY 11 2013 CLOUDY    56  48  74 W10       29.82R                     .
 8PM EDT MAY 11 2013 MOCLDY    55  47  74 W8        29.83R                     .
 9PM EDT MAY 11 2013 PTCLDY    53  47  79 W3        29.82F                     .
10PM EDT MAY 11 2013 PTCLDY    52  46  80 W6        29.83R                     .
11PM EDT MAY 11 2013 PTCLDY    50  45  83 SW3       29.83S                     .
12AM EDT MAY 12 2013 MOCLDY    51  46  83 SW6       29.83S                     .
 1AM EDT MAY 12 2013 LGT RAIN  52  46  82 W9        29.83S FOG                 .
 2AM EDT MAY 12 2013 CLOUDY    48  39  71 NW24G30   29.86R                     .
 3AM EDT MAY 12 2013 CLOUDY    47  40  76 W13       29.87R                     .
 4AM EDT MAY 12 2013 MOCLDY    44  35  70 NW16      29.88R                     .
 5AM EDT MAY 12 2013 MOCLDY    42  33  70 N12       29.90R                     .
 6AM EDT MAY 12 2013 PTCLDY    39  33  79 W5        29.91R                     .
 7AM EDT MAY 12 2013 PTCLDY    38  31  76 SW3       29.92R                     .
 8AM EDT MAY 12 2013 MOSUNNY   42  33  70 W7        29.93R                     .
 9AM EDT MAY 12 2013 MOSUNNY   44  31  60 W15       29.93S                     .
10AM EDT MAY 12 2013 MOSUNNY   46  27  47 W15G22    29.93S                     .
11AM EDT MAY 12 2013 PTSUNNY   48  26  42 W18G26    29.93S                     .
12PM EDT MAY 12 2013 PTSUNNY   48  27  44 W15G21    29.93S                     .
 1PM EDT MAY 12 2013 PTSUNNY   50  27  40 W12G24    29.93S                     .
 2PM EDT MAY 12 2013 PTSUNNY   49  24  37 W18G29    29.94R                     .
 3PM EDT MAY 12 2013 PTSUNNY   50  25  37 W23G30    29.94S                     .
 4PM EDT MAY 12 2013 PTSUNNY   52  28  39 NW22G29   29.95R                     .
 5PM EDT MAY 12 2013 PTSUNNY   50  25  37 W16G28    29.95S                     .
 6PM EDT MAY 12 2013 MOSUNNY   51  28  41 W21G31    29.97R                     .
 7PM EDT MAY 12 2013 PTSUNNY   50  25  37 W13G29    29.97S                     .
 8PM EDT MAY 12 2013 CLOUDY    49  25  39 W13       29.99R                     .
 9PM EDT MAY 12 2013 CLOUDY    48  26  42 W7        30.00R                     .
10PM EDT MAY 12 2013 CLOUDY    47  26  44 W13G25    30.03R                     .
11PM EDT MAY 12 2013 MOCLDY    46  27  47 W9        30.04R                     .
12AM EDT MAY 13 2013 PTCLDY    45  27  49 W14G21    30.05R                     .
 1AM EDT MAY 13 2013 PTCLDY    42  28  57 W8        30.06R                     .
 2AM EDT MAY 13 2013 PTCLDY    40  25  55 W7        30.05F                     .
 3AM EDT MAY 13 2013 PTCLDY    38  25  59 W3        30.05S                     .
 4AM EDT MAY 13 2013 PTCLDY    36  26  67 W3        30.04F                     .
 5AM EDT MAY 13 2013 PTCLDY    34  25  69 W6        30.05R WCI  29             .
 6AM EDT MAY 13 2013 PTCLDY    34  26  72 W5        30.05S WCI  30             .
 7AM EDT MAY 13 2013 PTCLDY    34  26  72 CALM      30.07R                     .
 8AM EDT MAY 13 2013 PTSUNNY   37  26  64 W8        30.09R                     .
 9AM EDT MAY 13 2013 MOSUNNY   40  27  59 W5        30.11R                     .
10AM EDT MAY 13 2013 PTSUNNY   43  25  49 NW13      30.12R                     .
11AM EDT MAY 13 2013 PTSUNNY   47  23  38 NW18G24   30.13R                     .
12PM EDT MAY 13 2013 PTSUNNY   48  24  39 NW14G21   30.13                      .
 1PM EDT MAY 13 2013 MOSUNNY   48  21  34 NW13G24   30.13S                     .
 2PM EDT MAY 13 2013 PTSUNNY   52  23  32 W17G24    30.12F                     .
 3PM EDT MAY 13 2013 PTSUNNY   52  22  30 NW16      30.12S                     .
 4PM EDT MAY 13 2013 PTSUNNY   51  22  31 W14G22    30.12S                     .
 5PM EDT MAY 13 2013 MOSUNNY   52  23  32 W17G25    30.11F                     .
 6PM EDT MAY 13 2013 MOSUNNY   52  20  28 NW17G25   30.10F                     .
 7PM EDT MAY 13 2013 MOSUNNY   51  17  26 NW16G25   30.11R                     .
 8PM EDT MAY 13 2013 PTCLDY    49  19  30 NW13      30.12R                     .
 9PM EDT MAY 13 2013 PTCLDY    46  21  37 NW7       30.14R                     .
