TEMP = TEMPERATURE                     DP= DEW POINT TEMPERATURE
RH   = RELATIVE HUMIDITY (PERCENT)
WIND = DIRECTION FROM WHICH THE WIND IS COMING

OTHER ABBREVIATIONS:
BLWGSNOW BLOWING SNOW
DRZL  DRIZZLE
FOG   When fog is under 'weather', visibility is 1 MILE OR LESS.
      If mentioned as a remark after "PRESSURE", visibility 6 or less.
FRZ   FREEZING (rain or drizzle that freezes on contact with surfaces)
G     GUST (USED WITH WIND SPEED IN MPH)
HI    HEAT INDEX
HVY   HEAVY  } If snow or rain does not have intensity shown,
LGT   LIGHT  }    it is assumed to be 'moderate'.
MOCLDY MOSTLY CLOUDY                     MOSUNNY MOSTLY SUNNY
PTCLDY PARTLY CLOUDY                     PTSUNNY MOSTLY SUNNY
TC    TEMPERATURE IN DEGREES CELSIUS     TSTM  THUNDERSTORM
VSB   VISIBILITY (IN MILES)              WCI   WIND CHILL INDEX

PITTSBURGH AIRPORT   WEATHER TEMP  DP  RH WIND      PRESSURE
                                F   F   %  MPH       INCHES
 8PM EDT APR 30 2013 PTCLDY    67  48  50 E13       30.12R                   MAY
 9PM EDT APR 30 2013 FAIR      65  48  54 SE13      30.13R                   MAY
10PM EDT APR 30 2013 CLEAR     62  48  60 SE14      30.17R                   MAY
11PM EDT APR 30 2013 CLEAR     60  48  64 SE10      30.18R                   MAY
12AM EDT MAY 01 2013 CLEAR     59  48  67 SE8       30.19R                   MAY
 1AM EDT MAY 01 2013 CLEAR     58  48  69 SE8       30.19S                   MAY
 2AM EDT MAY 01 2013 PTCLDY    57  48  72 SE8       30.20R                   MAY
 3AM EDT MAY 01 2013 MOCLDY    56  48  74 SE7       30.19F                     .
 4AM EDT MAY 01 2013 PTCLDY    54  48  80 E8        30.20R                     .
 5AM EDT MAY 01 2013 PTCLDY    54  47  77 E7        30.20S                     .
 6AM EDT MAY 01 2013 MOCLDY    54  48  80 E6        30.23R                     .
 7AM EDT MAY 01 2013 PTCLDY    54  47  77 E5        30.26R                     .
 8AM EDT MAY 01 2013 MOSUNNY   57  48  72 E8        30.29R                     .
 9AM EDT MAY 01 2013 MOSUNNY   59  47  64 SE12      30.29S                     .
10AM EDT MAY 01 2013 SUNNY     62  48  60 SE9       30.30R                     .
11AM EDT MAY 01 2013 SUNNY     64  49  57 VRB7      30.31R                     .
12PM EDT MAY 01 2013 SUNNY     67  50  54 E8        30.30F                     .
 1PM EDT MAY 01 2013 MOSUNNY   69  49  48 SE10      30.29F                     .
 2PM EDT MAY 01 2013 MOSUNNY   72  49  44 E14       30.28F                     .
 3PM EDT MAY 01 2013 MOSUNNY   73  48  41 SE14      30.28S                     .
 4PM EDT MAY 01 2013 MOSUNNY   74  47  38 VRB7      30.27F                     .
 5PM EDT MAY 01 2013 MOSUNNY   75  46  35 E12       30.26F                     .
 6PM EDT MAY 01 2013 SUNNY     75  46  35 SE9G17    30.26S                     .
 7PM EDT MAY 01 2013 SUNNY     75  43  31 SE10      30.27R                     .
 8PM EDT MAY 01 2013 PTCLDY    72  40  31 E8        30.27S                     .
 9PM EDT MAY 01 2013 PTCLDY    69  39  33 E8        30.28R                     .
10PM EDT MAY 01 2013 CLEAR     66  36  32 E10       30.29R                     .
11PM EDT MAY 01 2013 CLEAR     66  31  27 SE12      30.31R                     .
12AM EDT MAY 02 2013 CLEAR     62  32  32 SE10      30.31S                     .
 1AM EDT MAY 02 2013 CLEAR     60  32  34 E9        30.31S                     .
 2AM EDT MAY 02 2013 CLEAR     59  33  37 SE7       30.31S                     .
 3AM EDT MAY 02 2013 CLEAR     57  33  40 SE5       30.30F                     .
 4AM EDT MAY 02 2013 CLEAR     54  34  46 SE6       30.31R                     .
 5AM EDT MAY 02 2013 CLEAR     54  34  46 SE7       30.32R                     .
 6AM EDT MAY 02 2013 PTCLDY    54  34  46 SE3       30.32S                     .
 7AM EDT MAY 02 2013 PTCLDY    52  35  52 E5        30.33R                     .
 8AM EDT MAY 02 2013 MOSUNNY   56  36  47 E9        30.34R                     .
 9AM EDT MAY 02 2013 MOSUNNY   59  36  42 SE9       30.35R                     .
10AM EDT MAY 02 2013 MOSUNNY   62  37  39 E9        30.35S                     .
11AM EDT MAY 02 2013 MOSUNNY   65  38  36 E9        30.35S                     .
12PM EDT MAY 02 2013 PTSUNNY   68  40  35 E10       30.33F                     .
 1PM EDT MAY 02 2013 PTSUNNY   70  41  34 E8        30.31F                     .
 2PM EDT MAY 02 2013 PTSUNNY   73  37  27 VRB7      30.29F                     .
 3PM EDT MAY 02 2013 MOSUNNY   74  27  17 SE12G22   30.27F                     .
 4PM EDT MAY 02 2013 MOSUNNY   77  29  17 E9G21     30.24F                     .
 5PM EDT MAY 02 2013 MOSUNNY   77  28  16 SE12G17   30.23F                     .
 6PM EDT MAY 02 2013 MOSUNNY   75  30  19 E13       30.21F                     .
 7PM EDT MAY 02 2013 PTSUNNY   74  31  20 E13       30.20F                     .
 8PM EDT MAY 02 2013 MOCLDY    72  29  20 E14       30.21R                     .
 9PM EDT MAY 02 2013 MOCLDY    68  30  24 E12       30.21S                     .
10PM EDT MAY 02 2013 MOCLDY    67  30  25 SE12      30.22R                     .
11PM EDT MAY 02 2013 MOCLDY    64  31  28 SE13      30.22S                     .
12AM EDT MAY 03 2013 MOCLDY    62  33  33 SE9       30.23R                     .
 1AM EDT MAY 03 2013 MOCLDY    60  34  37 SE7       30.23S                     .
 2AM EDT MAY 03 2013 MOCLDY    58  35  42 SE8       30.22F                     .
 3AM EDT MAY 03 2013 MOCLDY    56  36  47 SE6       30.22S                     .
 4AM EDT MAY 03 2013 MOCLDY    56  35  45 SE7       30.22S                     .
 5AM EDT MAY 03 2013 MOCLDY    53  35  50 SE6       30.22S                     .
 6AM EDT MAY 03 2013 MOCLDY    51  37  58 E6        30.22S                     .
 7AM EDT MAY 03 2013 MOCLDY    50  36  58 E6        30.24R                     .
 8AM EDT MAY 03 2013 PTSUNNY   54  37  52 E6        30.25R                     .
 9AM EDT MAY 03 2013 PTSUNNY   59  34  39 SE12      30.25S                     .
10AM EDT MAY 03 2013 CLOUDY    63  31  30 SE14G23   30.25S                     .
